Document Title,Authors,Publication Title,Publication Year,Start Page,End Page,>= 4,Abstract,Abstract Level,Double-check by Tiago or Paulo,DOI,PDF Link,OBS
Learning Agile Scrum Methodology Using the Groupware Tool Trello $$^{\textregistered }$$ Through Collaborative Working,"Naik N., Jenkins P., Newell D.",Advances in Intelligent Systems and Computing,2020,343,355,,"Agile is a project management philosophy for collaborative working which consists of a set of values and principles that can be employed in any sector. It is adopted by the software development community a long time ago and now several methodologies based on agile principles have become established as a method of software development. These agile based software development methodologies have developed as an integral part of the software engineering and software development curricula for many computing degree courses. One such agile based methodology is Scrum which is widely used in the software industry and thus in teaching. Several agile Scrum tools are available for software development, however, for teaching and learning purposes, this would not be affordable for many institutions due to its cost or learning curve. This necessitates the requirement for a free or open-source Scrum tool without any learning curve. Trello which is a free project management and collaborative working tool but not particularly designed for Scrum. However, its functionality and features can be transformed to make it a basic Scrum tool for teaching and learning purposes at no cost. This paper presents a systematic development and application of Trello-based agile Scrum methodology not just for teaching and learning purposes but for real project development. It is employed in the delivery of the software engineering module in BSc courses and subsequently, in the development of the BSc final year project at Bournemouth University, UK. This implementation of Trello-based agile Scrum methodology in the project development is compared against the simple agile Scrum based project development practice to demonstrate the success and learning improvement of this proposed methodology. © 2020, Crown.", , ,10.1007/978-3-030-22354-0_31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068462093&doi=10.1007%2f978-3-030-22354-0_31&partnerID=40&md5=43e17da062844d119f0be86d8be5c566, 
Maintainability of Automatic Acceptance Tests for Web Applications—A Case Study Comparing Two Approaches to Organizing Code of Test Cases,"Sadaj A., Ochodek M., Kopczyńska S., Nawrocki J.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020,454,466,,"[Context] Agile software development calls for test automation since it is critical for continuous development and delivery. However, automation is a challenging task especially for tests of user interface, which can be very expensive. [Problem] There are two extreme approaches of structuring the code of test duties for web-applicating, i.e., linear scripting and keyword-driven scripting technique employing the page object pattern. The goal of this research is to compare them focusing on the maintainability aspect. [Method] We develop and maintain two automatic test suites implementing the same test cases for a mature open-source system using these two approaches. For each approach, we measure the size of the testing codebase and the number of lines of code that need to be modified to keep the test suites passing and valid through five releases of the system. [Results] We observed that the total number of physical lines was higher for the keyword-driven approach than for the linear scripting one. However, the number of programmatical lines of code was smaller for the former. The number of lines of code that had to be modified to maintain the tests was lower for the keyword-driven scripting test suite than for the linear-scripting one. We found the linear-scripting technique was more difficult to maintain because the scripts consist only of low-level code directly interacting with a web browser making it hard to understand the purpose and broader context of the interaction they implement. [Conclusions] We conclude that test suites created using the keyword-driven approach are easier to maintain and more suitable for most of the projects. However, the results show that the linear scripting approach could be considered as a less expensive alternative for small projects that are not likely to be frequently modified in the future. © 2020, Springer Nature Switzerland AG.", , ,10.1007/978-3-030-38919-2_37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079085768&doi=10.1007%2f978-3-030-38919-2_37&partnerID=40&md5=43da3341f7f92d40f7d05cd35f5758cf, 
On the liquid condensate vertical migration near the production wells of gas-condensate reservoirs,"Salmani N., Fatehi R., Azin R.","Engineering Science and Technology, an International Journal",2020,,,,"Accumulation of liquids in gas-condensate reservoirs may lead to a vertical flow of liquid caused by density difference in the presence of gravity. In this paper, the effect of this vertical flow on the prediction of production data has been investigated. To achieve this goal, a single-layer synthetic cylindrical reservoir is considered and, the flows are simulated with and without vertical direction grid blocks with two lean and rich fluids. The governing equations of the so-called Modified Black-Oil (MBO) model are solved in a cylinder sector using the open-source Matlab Reservoir Simulation Toolbox (MRST). When the vertical flow is taken into consideration, the results show that gravity may lead to migration of liquid condensates to lower regions and the production rates decrease as a consequence of wellbore partially blockage especially for the rich fluid. In addition, gravity may cause a non-linear effect on the flow behavior and increase in the condensates production rates. All results are also obtained for three values of critical liquid condensate saturation to show the effect of this parameter on the production. It has been shown that neglecting the vertical flow may cause significant errors in the result of production, i.e. up to 25% when the fluid is rich and the critical condensate saturation is 0.15. To generalize the effect of the reservoir thickness, dimensional analysis is carried out which yields a similarity parameter. The findings of this study can help for a better understanding of near well flow in gas-condensate reservoirs. Based on this study, in applications in which the reservoir gas is rich in condensate and the thickness of the reservoir layer or the vertical permeability is high enough, it is recommended that the gravity effect is taken into account by enough grid points in the vertical direction in each layer. © 2020 Karabuk University", , ,10.1016/j.jestch.2020.03.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083017533&doi=10.1016%2fj.jestch.2020.03.006&partnerID=40&md5=55b9c20dc3a6f218a8633cb84e0c4c69, 
Open Source Cloud Platform for Academic Systems Monitoring Software,"Nogales R., Tandazo P., Mayorga F., Guevara D., Vargas J.",Communications in Computer and Information Science,2020,451,465,,"The research consists in the study of the problem arises from the improper use of software, which triggers an excessive investment in tools that do not represent an academic benefit for an institution of higher education. This work proposes the development of an adaptive system which captures the data generated from the execution of any computer application in the laboratories. At the same time, the modules send the data to a server hosted in the cloud where the activities are stored in offline files. On the other hand, the monitoring system tabulates these data and presents them through reports following the XP methodology to facilitate their maintenance. The implementation of the monitoring system made it possible to determine the use of the applications executed in a given time, for the proper control of academic systems. © 2020, Springer Nature Switzerland AG.", , ,10.1007/978-3-030-42517-3_34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082394748&doi=10.1007%2f978-3-030-42517-3_34&partnerID=40&md5=e33517a28c00af99b546ae18481d0b0b, 
Proposal of a sustainable agile model for software development,"Galán O.A.A., Valdéz J.L.C., Medina H.F., Gustavo A. Vanegas Contreras, Sumuano J.L.S.",International Journal of Advanced Computer Science and Applications,2020,42,49,,"Sustainability is even more important now than ever if we speak in the context of organizational growth, it is necessary that technological products, such as software developments, are certified as green-environmental friendly technology that would mean a competitive advantage for an organization that implements an agile methodology for software development that takes sustainability into account, giving the organization new ways to market their software products as environmentally friendly. This study proposes a model for agile software development, it has taken into account that software development must be based upon reusing old hardware, free nonprivative software and code (open source), as well as virtualization of servers and machines, to create software that can be useful for over a decade, as a result, we expect a reduction of planned obsolescence in hardware, which means taking one step ahead to help solve the problem that the big amount of electronic waste (e-waste) means nowadays worldwide. © 2013 The Science and Information (SAI) Organization.", , ,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080107608&partnerID=40&md5=384e9fe1396d84fd63462d23f85a86c4, 
Saphiraweb: An open-source cloud platform for E-health analysis,"Rocha L.A., Almeida S.S.",Instrumentation Science and Technology,2020,,,,"Here we present a cloud platform for e-health analysis. The goal of this research is to offers a standardized way to secure registry and share biometric impedance data from many volunteers of distinct locations. We perform the corporal analysis of a dataset from elderly volunteers who perform regular gym exercises. Our goal is to follow the evolution of health quality according to the percentage of body fat, hydration, and corporal lean mass. These factors can potentially indicate how physical exercises can contribute to improving the health quality of this population. Our result is two-fold: (a) a qualitative overview of the development of an open-source system for e-health analysis has many issues to host a useful large biometric dataset and (b) our preliminary analysis indicates that regular physical exercises contribute reducing corporal body fat, and improve the quality of health. © 2020, © 2020 Taylor & Francis Group, LLC.", , ,10.1080/10739149.2020.1761380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084317388&doi=10.1080%2f10739149.2020.1761380&partnerID=40&md5=bb3fa5aa59a5627165f7b68b1b12799c, 
Scalable system and silicon architectures to Handle the workloads of the Post-Moore era,Bolsens I.,Proceedings of the International Symposium on Physical Design,2020,1,2,,"The end of Moore's law has been proclaimed on many occasions and it's probably safe to say that we are now working in the post-Moore era. But no one is ready to slow down just yet. We can view Gordon Moore's observation on transistor densification as just one aspect of a longer-term underlying technological trend - the Law of Accelerating Returns articulated by Kurzweil. Arguably, companies became somewhat complacent in the Moore era, happy to settle for the gains brought by each new process node. Although we can expect scaling to continue, albeit at a slower pace, the end of Moore's Law delivers a stronger incentive to push other trends of technology progress harder. Some exciting new technologies are now emerging such as multichip 3D integration and the introduction of new technologies such as storage-class memory and silicon photonics. Moreover, we are also entering a golden age of computer architecture innovation. One of the key drivers is the pursuit of domain-specific architectures as proclaimed by Turing award winners John Hennessy and David Patterson. A good example is the Xilinx's AI Engine, one of the important features of the Versal™ ACAP (adaptive compute acceleration platform) [1]. Today, the explosion of AI workloads is one of the most powerful drivers shifting our attention to find faster ways of moving data into, across, and out of accelerators. Features such as massive parallel processing elements, the use of domain specific accelerators, the dense interconnect between distributed on-chip memories and processing elements, are examples of the ways chip makers are looking beyond scaling to achieve next-generation performance gains. Next, the growing demands of scaling-out hyperscale datacenter applications drive much of the new architecture developments. Given a high diversification of workloads that invoke massive compute and data movement, datacenter architectures are moving away from rigid CPU-centric structures and instead prioritize adaptability and configurability to optimize resources such as memory and connectivity of accelerators assigned to individual workloads. There is no longer a single figure of merit. It's not all about Tera-OPS. Other metrics such as transfers-per-second and latency come to the fore as demands become more real-time; autonomous vehicles being an obvious and important example. Moreover, the transition to 5G will result in solutions that operate across the traditional boundaries between the cloud and edge and embedded platforms that are obviously power-conscious and cost-sensitive. Future workloads will require agile software flows that accommodate the spread of functions across edge and cloud. Another industry megatrend that will drive technology requirements especially in encryption, data storage and communication, is Blockchain. To some, it may already have a bad reputation, tarnished by association with the anarchy of cryptocurrency, but it will be more widely relevant than many of us realize. Who could have foreseen the development of today's Internet when ARPANET first appeared as a simple platform for distributed computing and sending email? Through projects such as the open-source Hyperledger, Blockchain technology could be game-changing as a platform for building trust in transactions executed over the Internet. We may soon be talking in terms of the Trusted Internet. The predictability of Moore's law may have become rather too comfortable and slow. The future requires maximizing the flexibility, agility, and efficiency of new technologies. With Moore's Law now mostly behind us, new adaptable and scalable architectures will allow us to further provide exponential return from technology in order to create a more adaptable and intelligent world. © 2020 Copyright held by the owner/author.", , ,10.1145/3372780.3378166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082554119&doi=10.1145%2f3372780.3378166&partnerID=40&md5=7f679adc93e1fc4c00a3bce19676f430, 
"TimeScale Analysis, Numerical Simulation and Validation of Flame Acceleration, and DDT in Hydrogen–Air Mixtures","Karanam A., Ganju S., Chattopadhyay J.",Combustion Science and Technology,2020,,,,"Flame Acceleration (FA) and Deflagration to Detonation Transition (DDT) are known risks in scenarios involving accidental release and combustion of hydrogen in nuclear reactors. In the present work, chemical timescale and Borghi diagram analysis of hydrogen combustion have been presented. Based on these, a map of the flame propagation in the GraVent shock tube channel has been constructed; and it has been established that the propagation corresponds to the flamelet regime. Subsequently, CFD framework applicable to the flamelet regime such as the geometric approach with turbulent flame closure has been utilized to study deflagrations, FA and DDT. Such methods allow for the computation of pressure transients and flame propagation characteristics with a relatively coarse grid, thereby enabling a balance between computational time and accuracy. Moreover, specific sub-models based on Lewis number and tuned to lean combustion at high pressures have been implemented to further improve the accuracy of the numerical results. All numerical work has been carried out using the open-source numerical platform OpenFOAM. Several numerical simulations with uniform and transversely stratified initial distribution have been carried out and validated with experimental data. In the stratified case, an asymmetric flame front has been observed and is identified to be a key parameter leading to strong FA. Detailed analysis shows that several pressure pulses and shock complexes are formed upstream of the flame. The ensuing shock–flame interaction augments the flame speed ultimately resulting in DDT. Comparative simulations with uniform distribution also show strong FA but DDT does not take place. © 2020, © 2020 Taylor & Francis Group, LLC.", , ,10.1080/00102202.2020.1732363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081284904&doi=10.1080%2f00102202.2020.1732363&partnerID=40&md5=ec1e5cb94f568ec2432edababa6c217b, 
Web accessibility testing for Singapore government e-services,"Lim Z.Y., Chua J.M., Yang K., Tan W.S., Chai Y.","Proceedings of the 17th International Web for All Conference, W4A 2020",2020,,,,"The paper proposes a customized automated accessibility testing tool built on existing open source tools that makes upholding web accessibility standards less daunting and overwhelming for developers working on Singapore government e-services. We incorporate findings from contextual inquiry (N = 8) on government e-service use by persons with disabilities (PWDs) in Singapore to help software development teams identify and prioritise accessibility test findings within the agile development cycle. Our tool incorporates a customised accessibility audit tool with rule set prioritised from the contextual inquiry, and built as part of a software package that can be rapidly deployed on continuous integration / continuous delivery (CI/CD) platforms to scale up the adoption and accessibility testing. The goal of our tool is to deliver a usable output for developers and product managers that is streamlined, targeted, and integrated into existing workflows. © 2020 ACM.", , ,10.1145/3371300.3383353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086811392&doi=10.1145%2f3371300.3383353&partnerID=40&md5=7866b1e3fa3deaa72d20a15ab4f1308c, 
Using SIMD and SIMT vectorization to evaluate sparse chemical kinetic Jacobian matrices and thermochemical source terms,"Curtis N.J., Niemeyer K.E., Sung C.-J.",Combustion and Flame,2018,186,204,,"Accurately predicting key combustion phenomena in reactive-flow simulations, e.g., lean blow-out, extinction/ignition limits and pollutant formation, necessitates the use of detailed chemical kinetics. The large size and high levels of numerical stiffness typically present in chemical kinetic models relevant to transportation/power-generation applications make the efficient evaluation/factorization of the chemical kinetic Jacobian and thermochemical source-terms critical to the performance of reactive-flow codes. Here we investigate the performance of vectorized evaluation of constant-pressure/volume thermochemical source-term and sparse/dense chemical kinetic Jacobians using single-instruction, multiple-data (SIMD) and single-instruction, multiple thread (SIMT) paradigms. These are implemented in pyJac, an open-source, reproducible code generation platform. Selected chemical kinetic models covering the range of sizes typically used in reactive-flow simulations were used for demonstration. A new formulation of the chemical kinetic governing equations was derived and verified, resulting in Jacobian sparsities of 28.6–92.0% for the tested models. Speedups of 3.40–4.08 × were found for shallow-vectorized OpenCL source-rate evaluation compared with a parallel OpenMP code on an avx2 central processing unit (CPU), increasing to 6.63–9.44 × and 3.03–4.23 × for sparse and dense chemical kinetic Jacobian evaluation, respectively. Furthermore, the effect of data-ordering was investigated and a storage pattern specifically formulated for vectorized evaluation was proposed; as well, the effect of the constant pressure/volume assumptions and varying vector widths were studied on source-term evaluation performance. Speedups reached up to 17.60 × and 45.13 × for dense and sparse evaluation on the GPU, and up to 55.11 × and 245.63 × on the CPU over a first-order finite-difference Jacobian approach. Further, dense Jacobian evaluation was up to 19.56 × and 2.84 × times faster than a previous version of pyJac on a CPU and GPU, respectively. Finally, future directions for vectorized chemical kinetic evaluation and sparse linear-algebra techniques were discussed. © 2018 The Combustion Institute", , ,10.1016/j.combustflame.2018.09.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053873763&doi=10.1016%2fj.combustflame.2018.09.008&partnerID=40&md5=52a12ad36345ffa6c8b4af82d5bfcf6d, 
SFRAT - An Extendable Software Reliability Assessment Tool,"Nikora A., Fiondella L., Wandji T.","Proceedings - 29th IEEE International Symposium on Software Reliability Engineering Workshops, ISSREW 2018",2018,65,70,,"Since its release in the mid-1990s, the Microsoft Windows-based software reliability modeling tool CASRE has been downloaded over 3000 times from the Open Channel Foundation's website. It was also included on the CDROM distributed with the Handbook of Software Reliability Engineering (M. Lyu, ed). In the years since it was first released, however, CASRE has become more difficult to use. This is mainly because there have been no updates since 2000. The last version of Windows on which CASRE would reliably execute was Windows XP, and since it was developed explicitly for Windows, it is not feasible to run it on other platforms. Software development and acquisition organizations continued to be interested in using tools of the same type as CASRE. In 2013, the U.S. Naval Air Systems Command (NAVAIR) contacted the authors at the Jet Propulsion Laboratory and the University of Massachusetts to determine whether a) CASRE could be modified to run in contemporary environments, or b) whether a new tool with the same functionality as CASRE could be developed with modern programming languages and techniques. After weighing the alternatives, a decision was made to develop a new tool rather than updating CASRE. There were several reasons for which this decision was made. First of all, CASRE had been developed with the programming languages available at the time, in this case C and Fortran. Developing a new tool would allow use of modern, expressive languages and development environments that were particularly well suited to the statistical modeling domain (e.g., R, RStudio). Developing a new tool would also allow us to implement it so that it would run in modern operating environments, specifically Windows, Mac OS, Unix, and Linux. This last design decision would make it possible for users who would not have been able to run CASRE to use the new tool. We wanted to address the difficulty of adding new models to CASRE, since it was not architected for ease of modification. We wanted to develop a tool for which it would be easy to add new models and model evaluation techniques (e.g., prequential likelihood ratio, Akaike Information Criterion). This would enable organizations already using software reliability modeling to manage their testing to place the models they were using into a common framework, making it easier to evaluate multiple sets of results to gain additional insight into their testing process. Researchers would also gain an advantage by having a common framework in which to work with multiple models, analyze their results, and identify relationships among them. Finally, this would make it practical to distribute as open-source software, to which contributors could add new models and evaluation techniques as they were developed by the research community and validated by practitioners. We have used these ideas to develop the Software Failure and Reliability Assessment Tool (SFRAT). It is implemented in R, uses the Shiny user interface package, and will run in any environment in which R and RStudio can run. We intend for it to be an open-source tool with a mechanism for contributors to add new capabilities. Our hope is that distributing SFRAT as open-source software will allow it to retain currency in the software reliability practice and research communities. © 2018 IEEE.", , ,10.1109/ISSREW.2018.00-29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059844323&doi=10.1109%2fISSREW.2018.00-29&partnerID=40&md5=edd405ca27bd2630713830a0a5d1d2a3, 
Visualization Tool for Designing Microservices with the Monolith-First Approach,"Nakazawa R., Ueda T., Enoki M., Horii H.","Proceedings - 6th IEEE Working Conference on Software Visualization, VISSOFT 2018",2018,32,42,,"The microservice architecture is essential for agile development and deployment of the application components; however, designing microservices for a web application is not a straight-forward task. One of the best ways to design microservices is to decompose a monolithic prototype of an application into microservices on the basis of both the complexity in engineering and the component boundaries of the application in the early phase of development. We propose a visualization tool allowing developers to interactively design microservice applications on the basis of the characteristics of source codes and the behaviors of a monolithic prototype. This visualization tool first constructs a calling-context tree from profile data taken in a dry-run of the application. Next, it generates an initial microservice design while considering keyword features in the source codes or amount of function calls between components. Developers can interactively refine this design via this visual interface by taking four-choice actions to revise boundaries of microservices while considering expected communications between them. This interaction will have a significant impact on runtime performance. Case studies of two open-source benchmark applications demonstrate the proposed tool enables interactive design of microservices. The results of the demonstration show that compared to the official microservice designs of the applications, the proposed tool can effectively design microservice applications. © 2018 IEEE.", , ,10.1109/VISSOFT.2018.00012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058438106&doi=10.1109%2fVISSOFT.2018.00012&partnerID=40&md5=653213654c0fa509bfe28ce7113aebba, 
Office Chromatography: Miniaturized All-in-One Open-Source System for Planar Chromatography,"Fichou D., Morlock G.E.",Analytical Chemistry,2018,12647,12654,,"Current high-performance-thin-layer-chromatography instrumentation is offline and stepwise automated. However, moderate miniaturization offers many advantages and together with the transfer of modern print and media technologies to the field of chromatography (office chromatography) it opens up new avenues. This is demonstrated in an all-in-one open-source system developed for planar chromatography and especially for ultrathin-layer chromatography. Using an InkShield board to control a thermal inkjet cartridge, picoliter drops were printed at a resolution of 96 dpi on the adsorbent layer. Using Marlin, a popular firmware in 3D printing, Cartesian movement of the print head was made possible for full control of the printing process. Open-source software was developed to control the device in each operation step. Sample solutions and mobile phase were inkjet-printed, exemplarily shown for the analysis of dye- or paraben-mixture solutions. Light-emitting diodes (LEDs) were investigated for documentation. For example, deep UV LEDs gave access to 254 nm light, and RGB LEDs gave access to the visible-light range. Calibration functions with correlation coefficients superior to 0.999 were obtained by videodensitometry. The developed modular open-source hardware was compact (26 × 31 × 26 cm 3 ), light (&lt;3 kg), and affordable (€810). For the given analyses, the footprint of current instrumentation needed was miniaturized by a factor of 9. The highly reduced material design complies with green chemistry and lean laboratory. The design and instruction to reproduce the all-in-one open-source system were made freely available at https://github.com/OfficeChromatography. It is intended to boost progress and understanding by the nature of do it yourself. © 2018 American Chemical Society.", , ,10.1021/acs.analchem.8b02866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054617009&doi=10.1021%2facs.analchem.8b02866&partnerID=40&md5=1f70f418148c9f69d5ee233a6d261a87, 
Tough choices for an agile open source international development project: the Libre LAS Case,"McDowell A., Drechsler A.",Journal of Information Technology Teaching Cases,2018,139,148,,"In June 2010, the Food and Agriculture Organization (FAO) of the United Nations (UN) started a three-year trust fund project to develop and pilot open source cadastre and registration software. This project was called Libre Land Administration System (Libre LAS), and its aim was to make computerised cadastre and registration systems more affordable and more sustainable in developing countries. The first stage of the Libre LAS project was undertaken at FAO headquarters (HQ) in Rome. Generic cadastre and registration processes were defined and software requirements and software architecture documents prepared. Development of the Libre LAS software began in early 2011. An international team of software developers assembled at FAO HQ and proceeded to create the generic software platform using an Agile Scrum methodology. By early 2012, the first release of Libre LAS was ready and pilot implementations began in Ghana, Nepal, and Samoa to validate and prove the Libre LAS concept. This case study tracks the initial development and implementation of Libre LAS in the pilot countries from 2011 to late 2012. It is presented from the standpoint of Brett, the Libre LAS Project Coordinator, and discusses organisational, cultural, stakeholder, and financial issues that conspired to derail the project. Ultimately, Brett is left to make some tough decisions around the pilot implementations to ensure the success of the overall project. © 2017, Association for Information Technology Trust.", , ,10.1057/s41266-017-0032-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035324428&doi=10.1057%2fs41266-017-0032-4&partnerID=40&md5=ef3f0a9aad24617e207d0963ed6a42f5, 
ELSA-Py - Open-source extension for communication and data management in interactive remote experimentation under ilab shared architecture,"Uhlmann T.S., Dos Santos Sbais P.H., Mendes L.A.","13th APCA International Conference on Control and Soft Computing, CONTROLO 2018 - Proceedings",2018,247,252,,"Paper depicts an architecture expansion for communication and data management that can be used in Remote Experimentation and Game-Based Learning. This architecture is compliant with iLab Shared Architecture and is based upon open source software and hardware, in particular low cost platforms such as the Raspberry Pi 3. It consists of three main entities: user-side interface, experiment-side (lab) application and, interconnecting both, the cloud server enhanced with the messaging intermediator. Architecture takes into account typical requirements for educational institutions, such as open-source technologies, remote systems usage management (service brokerage) and security. In trial implementations, three single-user, remotely operated experiments have been enabled using ELSA-Py, in which students will be able to practice concepts of lean production (LyMIE), object position control (Windball) and image calibration (TabRecon). The integration has been tested and the performance of ELSA-Py architecture as a tool do deploy educational remotely operated systems is discussed. © 2018 IEEE.", , ,10.1109/CONTROLO.2018.8514265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057296744&doi=10.1109%2fCONTROLO.2018.8514265&partnerID=40&md5=249dfb1c58c7aed0994b6f8ab7001293, 
The prevalence of code over models: Turning it around with transparency,Leite J.C.S.D.P.,"Proceedings - 2018 8th International Model-Driven Requirements Engineering Workshop, MoDRE 2018",2018,56,57,,"Over the last ten years, there has been an increasing shift in software production from plandriven processes towards lean software processes. These lean processes are based either on agile strategies or in open source environments. One instance of this trend is the growing use of GitHub as a software construction platform. More and more, software developers are relying on text as representation and collaboration as a way of producing quality software. As such, the adoption of more abstract representations (model oriented), as the research community have been forecasting, is yet to happen. Taking a bias position, anchored on the concept of transparency as a quality, we look at the factors for the prevalence of code over models. We try to forecast possible ways to foster the use of models in software production. Our vision is based on bringing transparency to collaborative modeling. © 2018 IEEE.", , ,10.1109/MoDRE.2018.00013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061358497&doi=10.1109%2fMoDRE.2018.00013&partnerID=40&md5=086873d0ac4e0cf847bb017db680f5e9, 
"Cilantro: A lean, versatile, and efficient library for point cloud data processing","Zampogiannis K., Fermüller C., Aloimonos Y.",MM 2018 - Proceedings of the 2018 ACM Multimedia Conference,2018,1364,1367,,"We introduce cilantro, an open-source C++ library for geometric and general-purpose point cloud data processing. The library provides functionality that covers low-level point cloud operations, spatial reasoning, various methods for point cloud segmentation and generic data clustering, flexible algorithms for robust or local geometric alignment, model fitting, as well as powerful visualization tools. To accommodate all kinds of workflows, cilantro is almost fully templated, and most of its generic algorithms operate in arbitrary data dimension. At the same time, the library is easy to use and highly expressive, promoting a clean and concise coding style. cilantro is highly optimized, has a minimal set of external dependencies, and supports rapid development of performant point cloud processing software in a wide variety of contexts. © 2018 Copyright held by the owner/author(s). Publication rights licensed to ACM.", , ,10.1145/3240508.3243655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058240012&doi=10.1145%2f3240508.3243655&partnerID=40&md5=0b8beaa7952308eed80e81c770475fe8, 
Effort Estimation via Text Classification and Autoencoders,Soares R.G.F.,Proceedings of the International Joint Conference on Neural Networks,2018,,,,"The estimation of the effort required for the production of a software or the correction of a software issue is an important activity in software development methodologies. Such estimates are essential to the delivery of high-quality products within a time frame and budget. Intuitively, these estimates should be produced as early as possible in the development process in order to improve planning. Issue reports are the earliest documents available for the correction of a software. We tackle effort estimation in early stages of agile software development as text classification of issue reports. This task consists of assigning categories to such documents, often written in natural language and programming code. Typically, text classification is performed with feature extraction techniques that produce informative features for a text classifier. Autoencoders generate input representations in increasing levels of abstraction, which may represent meaningful semantics in issue reports. We propose a study on the effectiveness of autoencoders for estimating the effort required for the agile correction of software functionalities in the context of real-world open-source projects. Our experiments provided significant evidences that autoencoders are able to encode noisy documents and provide informative features to a text classifier and improve its generalization. © 2018 IEEE.", , ,10.1109/IJCNN.2018.8489030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056557747&doi=10.1109%2fIJCNN.2018.8489030&partnerID=40&md5=503c062b1222515cd4d0c2e158f508f4, 
Numerical Implementation and validation of turbulent premixed combustion model for lean mixtures,"Muppala S., Madhav Rao V.C.",MATEC Web of Conferences,2018,,,,"The present paper discusses the numerical investigation of turbulent premixed flames under lean conditions. Lean premixed combustion, a low NOx emission technique but are prone to instabilities, extinction and blow out. Such flames are influenced by preferential diffusion due to different mass diffusivities of reactants and difference between heat and mass diffusivities in the reaction zone. In this numerical study, we estimate non-reacting flow characteristics with implementation of an Algebraic Flame Surface Wrinkling Model (AFSW) in the open source CFD code OpenFOAM. In these flows, the mean velocity fields and recirculation zones were captured reasonably well by the RANS standard k-epsilon turbulence model. The simulated turbulent velocity is in good agreement with experiments in the shear-generated turbulence layer. The reacting flow study was done at three equivalence ratios of 0.43, 0.5 and 0.56 to gauge the ability of numerical model to predict combustion quantities. At equivalence ratios 0.5 and 0.56 the simulations showed numerical oscillations and non-convergence of the turbulent quantities. This leads to a detailed parametric variation study where, the pre-constant of AFSW model is varied with values 0.3, 0.35 and 0.4. However the study revealed the weak dependence of pre-constant value on the equivalence ratio. Hence the pre-constant value is fit for specific equivalence ratio based on the parametric variation study. The tuned AFSW model with fitted pre-constant specific to given equivalence ratio predicted are compared with experiments and discussed. The tuned AFSW model produced turbulent flame speed values which are good agreement with experiments. © The Authors, published by EDP Sciences, 2018.", , ,10.1051/matecconf/201820900004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055550360&doi=10.1051%2fmatecconf%2f201820900004&partnerID=40&md5=9c62ff4dc4a75abb07ddbcbce6d0c5ae, 
