Title,Authors,Year,Document Type,DOI,Link,Publication Title
The 2020 Expert Survey on Formal Methods,Hubert GaravelMaurice H. ter BeekJaco van de Pol,2020,Chapter,10.1007/978-3-030-58298-2_1,http://link.springer.com/chapter/10.1007/978-3-030-58298-2_1,Formal Methods for Industrial Critical Systems
Integration of Security Standards in DevOps Pipelines: An Industry Case Study,Fabiola MoyónRafael SoaresMaria Pinto-AlbuquerqueDaniel MendezKristian Beckers,2020,Chapter,10.1007/978-3-030-64148-1_27,http://link.springer.com/chapter/10.1007/978-3-030-64148-1_27,Product-Focused Software Process Improvement
Towards a Multidimensional Self-assessment for Software Process Improvement: A Pilot Tool,Elli GeorgiadouEleni BerkiKerstin SiakasSamer SamehJohn EstdaleHarjinder RahanuMargaret RossRichard MessnarzJuri Petri Valtanen,2021,Chapter,10.1007/978-3-030-85521-5_12,http://link.springer.com/chapter/10.1007/978-3-030-85521-5_12,"Systems, Software and Services Process Improvement"
Learning Agility from Dancers – Experience and Lesson Learnt,Irina ErofeevaVladimir IvanovSergey MasyaginGiancarlo Succi,2020,Chapter,10.1007/978-3-030-39306-9_8,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_8,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
An XQuery Specification for Requests with Preferences on XML Databases,Maurice Tchoupé TchendjiPatrik Joslin Kenfack,2020,Chapter,10.1007/978-3-030-47240-5_12,http://link.springer.com/chapter/10.1007/978-3-030-47240-5_12,Open Source Systems
Fallacies and Pitfalls on the Road to DevOps: A Longitudinal Industrial Study,Alessandro CaprarelliElisabetta Di NittoDamian Andrew Tamburri,2020,Chapter,10.1007/978-3-030-39306-9_15,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_15,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
Vision Meets Visualization: Are Animated Videos an Alternative?,Melanie BuschOliver KarrasKurt SchneiderMaike Ahrens,2020,Chapter,10.1007/978-3-030-44429-7_19,http://link.springer.com/chapter/10.1007/978-3-030-44429-7_19,Requirements Engineering: Foundation for Software Quality
Identification and integration of security activities for secure agile development,Amit SharmaR. K. Bawa,2022,Article,10.1007/s41870-020-00446-4,http://link.springer.com/article/10.1007/s41870-020-00446-4,International Journal of Information Technology
Guidelines adopted by agile teams in privacy requirements elicitation after the Brazilian general data protection law (LGPD) implementation,Edna Dias CanedoAngelica Toffano Seidel CalazansIan Nery BandeiraPedro Henrique Teixeira CostaEloisa Toffano Seidel Masson,2022,Article,10.1007/s00766-022-00391-7,http://link.springer.com/article/10.1007/s00766-022-00391-7,Requirements Engineering
An impact-driven approach to predict user stories instability,Yarden LevyRoni SternArnon SturmArgaman MordochYuval Bitan,2022,Article,10.1007/s00766-022-00372-w,http://link.springer.com/article/10.1007/s00766-022-00372-w,Requirements Engineering
Requirements engineering for sustainable software systems: a systematic mapping study,Peter BambazekIris GroherNorbert Seyff,2023,Article,10.1007/s00766-023-00402-1,http://link.springer.com/article/10.1007/s00766-023-00402-1,Requirements Engineering
A Framework for Automated Testing,Thomas FehlmannEberhard Kranich,2020,Chapter,10.1007/978-3-030-56441-4_20,http://link.springer.com/chapter/10.1007/978-3-030-56441-4_20,"Systems, Software and Services Process Improvement"
DeltaFuzz: Historical Version Information Guided Fuzz Testing,Jia-Ming ZhangZhan-Qi CuiXiang ChenHuan-Huan WuLi-Wei ZhengJian-Bin Liu,2022,Article,10.1007/s11390-021-1663-7,http://link.springer.com/article/10.1007/s11390-021-1663-7,Journal of Computer Science and Technology
Improving active participation during enterprise operations modeling with an extended story-card-method and participative modeling software,Marne De VriesPetra Opperman,2023,Article,10.1007/s10270-023-01083-8,http://link.springer.com/article/10.1007/s10270-023-01083-8,Software and Systems Modeling
Blended modeling in commercial and open-source model-driven software engineering tools: A systematic study,Istvan DavidMalvina LatifajJakob PietronWeixing ZhangFederico CiccozziIvano MalavoltaAlexander RaschkeJan-Philipp SteghöferRegina Hebig,2023,Article,10.1007/s10270-022-01010-3,http://link.springer.com/article/10.1007/s10270-022-01010-3,Software and Systems Modeling
A predictive model to estimate effort in a sprint using machine learning techniques,Melvina Autar RamessurSoulakshmee Devi Nagowah,2021,Article,10.1007/s41870-021-00669-z,http://link.springer.com/article/10.1007/s41870-021-00669-z,International Journal of Information Technology
Software Testing in the DevOps Context: A Systematic Mapping Study,B. PandoA. Dávila,2022,Article,10.1134/S0361768822080175,http://link.springer.com/article/10.1134/S0361768822080175,Programming and Computer Software
Community Smell Occurrence Prediction on Multi-Granularity by Developer-Oriented Features and Process Metrics,Zi-Jie HuangZhi-Qing ShaoGui-Sheng FanHui-Qun YuXing-Guang YangKang Yang,2022,Article,10.1007/s11390-021-1596-1,http://link.springer.com/article/10.1007/s11390-021-1596-1,Journal of Computer Science and Technology
Editorial,M. N. Hoda,2022,Article,10.1007/s41870-022-00905-0,http://link.springer.com/article/10.1007/s41870-022-00905-0,International Journal of Information Technology
TracIMo: a traceability introduction methodology and its evaluation in an Agile development team,Salome MaroJan-Philipp SteghöferPaolo BozzelliHenry Muccini,2022,Article,10.1007/s00766-021-00361-5,http://link.springer.com/article/10.1007/s00766-021-00361-5,Requirements Engineering
Deep Generation of Coq Lemma Names Using Elaborated Terms,Pengyu NieKarl PalmskogJunyi Jessy LiMilos Gligoric,2020,Chapter,10.1007/978-3-030-51054-1_6,http://link.springer.com/chapter/10.1007/978-3-030-51054-1_6,Automated Reasoning
SOCAM: a service-oriented computing architecture modeling method,Paola Y. Reyes-DelgadoHector A. Duran-LimonManuel MoraLaura C. Rodriguez-Martinez,2022,Article,10.1007/s10270-021-00946-2,http://link.springer.com/article/10.1007/s10270-021-00946-2,Software and Systems Modeling
Transforming Diagrams’ Semantics to Text for Visually Impaired,Charlie CrossDeniz CetinkayaHuseyin Dogan,2020,Chapter,10.1007/978-3-030-49713-2_24,http://link.springer.com/chapter/10.1007/978-3-030-49713-2_24,"Design, User Experience, and Usability. Interaction Design"
The Telecommunication Data Cockpit – Full Control for the Household Community,Gerald EichlerClaudia PohlinkWolfgang Kurz,2020,Chapter,10.1007/978-3-030-37484-6_1,http://link.springer.com/chapter/10.1007/978-3-030-37484-6_1,Innovations for Community Services
A systematic literature review of empirical research on quality requirements,Thomas OlssonSéverine SentillesEfi Papatheocharous,2022,Article,10.1007/s00766-022-00373-9,http://link.springer.com/article/10.1007/s00766-022-00373-9,Requirements Engineering
Optimization of association rules using hybrid data mining technique,Sahana P. ShankarE. NareshHarshit Agrawal,2022,Article,10.1007/s11334-021-00387-6,http://link.springer.com/article/10.1007/s11334-021-00387-6,Innovations in Systems and Software Engineering
Software test results exploration and visualization with continuous integration and nightly testing,Per Erik StrandbergWasif AfzalDaniel Sundmark,2022,Article,10.1007/s10009-022-00647-1,http://link.springer.com/article/10.1007/s10009-022-00647-1,International Journal on Software Tools for Technology Transfer
Dataset Management Using Metadata,David Milward,2020,Chapter,10.1007/978-3-030-37873-8_7,http://link.springer.com/chapter/10.1007/978-3-030-37873-8_7,Model-Driven Engineering and Software Development
Innovations in systems and software engineering guest editorial: special issue on software and systems reuse,Lamia Labed JilaniSihem Ben Sassi,2022,Article,10.1007/s11334-022-00451-9,http://link.springer.com/article/10.1007/s11334-022-00451-9,Innovations in Systems and Software Engineering
Consistency management in industrial continuous model-based development settings: a reality check,Robbert JongelingFederico CiccozziJan CarlsonAntonio Cicchetti,2022,Article,10.1007/s10270-022-01000-5,http://link.springer.com/article/10.1007/s10270-022-01000-5,Software and Systems Modeling
An approach for performance requirements verification and test environments generation,Waleed AbdeenXingru ChenMichael Unterkalmsteiner,2023,Article,10.1007/s00766-022-00379-3,http://link.springer.com/article/10.1007/s00766-022-00379-3,Requirements Engineering
Practitioners’ experiences with model-driven engineering: a meta-review,Charlotte VerbruggenMonique Snoeck,2023,Article,10.1007/s10270-022-01020-1,http://link.springer.com/article/10.1007/s10270-022-01020-1,Software and Systems Modeling
Social and Human Factor Classification of Influence in Productivity in Software Development Teams,Liliana Machuca-VillegasGloria Piedad Gasca-HurtadoLuz Marcela Restrepo TamayoSolbey Morillo Puente,2020,Chapter,10.1007/978-3-030-56441-4_54,http://link.springer.com/chapter/10.1007/978-3-030-56441-4_54,"Systems, Software and Services Process Improvement"
On Identifying Similarities in Git Commit Trends—A Comparison Between Clustering and SimSAX,Miroslaw OchodekMiroslaw StaronWilhelm Meding,2020,Chapter,10.1007/978-3-030-35510-4_7,http://link.springer.com/chapter/10.1007/978-3-030-35510-4_7,Software Quality: Quality Intelligence in Software and Systems Engineering
Secure FaaS orchestration in the fog: how far are we?,Alessandro BocciStefano FortiGian-Luigi FerrariAntonio Brogi,2021,Article,10.1007/s00607-021-00924-y,http://link.springer.com/article/10.1007/s00607-021-00924-y,Computing
Development and Operation of Trustworthy Smart IoT Systems: The ENACT Framework,Nicolas FerryJacek DominiakAnne GallonElena GonzálezEider IturbeStéphane LavirotteSaturnino MartinezAndreas MetzgerVictor Muntés-MuleroPhu H. NguyenAlexander PalmAngel RegoErkuden RiosDiego RivieraArnor SolbergHui Song,2020,Chapter,10.1007/978-3-030-39306-9_9,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_9,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
Supporting data-aware processes with MERODE,Monique SnoeckCharlotte VerbruggenJohannes De SmedtJochen De Weerdt,2023,Article,10.1007/s10270-023-01095-4,http://link.springer.com/article/10.1007/s10270-023-01095-4,Software and Systems Modeling
The realist approach for evaluation of computational intelligence in software engineering,Raghavendra Rao AltharDebabrata Samanta,2021,Article,10.1007/s11334-020-00383-2,http://link.springer.com/article/10.1007/s11334-020-00383-2,Innovations in Systems and Software Engineering
Revisiting Refactoring Mechanics from Tool Developers’ Perspective,Jonhnanthan OliveiraRohit GheyiFelipe PontesMelina MongioviMárcio RibeiroAlessandro Garcia,2020,Chapter,10.1007/978-3-030-63882-5_3,http://link.springer.com/chapter/10.1007/978-3-030-63882-5_3,Formal Methods: Foundations and Applications
The ForeMoSt approach to building valid model-based safety arguments,Torin VigerLogan MurphyAlessio Di SandroClaudio MenghiRamy ShahinMarsha Chechik,2022,Article,10.1007/s10270-022-01063-4,http://link.springer.com/article/10.1007/s10270-022-01063-4,Software and Systems Modeling
Fabricatable axis: an approach for modelling customized fabrication machines,Frikk H. FossdalRogardt HeldalJens DyvikAdrian Rutle,2022,Article,10.1007/s10270-022-01007-y,http://link.springer.com/article/10.1007/s10270-022-01007-y,Software and Systems Modeling
Model-driven development platform selection: four industry case studies,Siamak FarshidiSlinger JansenSven Fortuin,2021,Article,10.1007/s10270-020-00855-w,http://link.springer.com/article/10.1007/s10270-020-00855-w,Software and Systems Modeling
Software effort estimation using ensemble of hybrid search-based algorithms based on metaheuristic algorithms,Wasiur RhmannBabita PandeyGufran Ahmad Ansari,2022,Article,10.1007/s11334-020-00377-0,http://link.springer.com/article/10.1007/s11334-020-00377-0,Innovations in Systems and Software Engineering
Runtime translation of OCL-like statements on Simulink models: Expanding domains and optimising queries,Beatriz A. SanchezAthanasios ZolotasHoracio Hoyos RodriguezDimitris KolovosRichard F. PaigeJustin C. CooperJason Hampson,2021,Article,10.1007/s10270-021-00910-0,http://link.springer.com/article/10.1007/s10270-021-00910-0,Software and Systems Modeling
"A Comprehensive Review of Redirected Walking Techniques: Taxonomy, Methods, and Future Directions",Yi-Jun LiFrank SteinickeMiao Wang,2022,Article,10.1007/s11390-022-2266-7,http://link.springer.com/article/10.1007/s11390-022-2266-7,Journal of Computer Science and Technology
"Real-Time Analytics: Benefits, Limitations, and Tradeoffs",S. D. KuznetsovP. E. VelikhovQ. Fu,2023,Article,10.1134/S036176882301005X,http://link.springer.com/article/10.1134/S036176882301005X,Programming and Computer Software
Empirical analysis of the tool support for software product lines,José Miguel HorcasMónica PintoLidia Fuentes,2023,Article,10.1007/s10270-022-01011-2,http://link.springer.com/article/10.1007/s10270-022-01011-2,Software and Systems Modeling
Teaching DevOps in Academia and Industry: Reflections and Vision,Evgeny BobrovAntonio BucchiaroneAlfredo CapozuccaNicolas GuelfiManuel MazzaraSergey Masyagin,2020,Chapter,10.1007/978-3-030-39306-9_1,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_1,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment
"A systematic literature review on IoT-aware business process modeling views, requirements and notations",Ivan CompagnucciFlavio CorradiniFabrizio FornariAndrea PoliniBarbara ReFrancesco Tiezzi,2023,Article,10.1007/s10270-022-01049-2,http://link.springer.com/article/10.1007/s10270-022-01049-2,Software and Systems Modeling
Applying MDD in the content management system domain,Dennis PrieferWolf RostDaniel StrüberGabriele TaentzerPeter Kneisel,2021,Article,10.1007/s10270-021-00872-3,http://link.springer.com/article/10.1007/s10270-021-00872-3,Software and Systems Modeling
X-IoT: a model-driven approach to support IoT application portability across IoT platforms,Flavio CorradiniArianna FedeliFabrizio FornariAndrea PoliniBarbara ReLuca Ruschioni,2023,Article,10.1007/s00607-023-01155-z,http://link.springer.com/article/10.1007/s00607-023-01155-z,Computing
Supporting Process Design in the Autonomous Era with New Standards and Guidelines,Masao Ito,2020,Chapter,10.1007/978-3-030-56441-4_39,http://link.springer.com/chapter/10.1007/978-3-030-56441-4_39,"Systems, Software and Services Process Improvement"
Efficient Quantification of Profile Matching Risk in Social Networks Using Belief Propagation,Anisa HalimiErman Ayday,2020,Chapter,10.1007/978-3-030-58951-6_6,http://link.springer.com/chapter/10.1007/978-3-030-58951-6_6,Computer Security – ESORICS 2020
"Data Repository in Framework for Computation Pipelining: Model, Architecture, the Implementation Performance Estimates",A. A. IvankovG. A. Manuilov,2022,Article,10.1134/S0361768822050048,http://link.springer.com/article/10.1134/S0361768822050048,Programming and Computer Software
Model-based resource analysis and synthesis of service-oriented automotive software architectures,Stefan KugelePhilipp ObergfellEric Sax,2021,Article,10.1007/s10270-021-00896-9,http://link.springer.com/article/10.1007/s10270-021-00896-9,Software and Systems Modeling
ParichartBOT: a chatbot for automatic answering for postgraduate students of an open university,Songlak Sakulwichitsintu,2023,Article,10.1007/s41870-023-01176-z,http://link.springer.com/article/10.1007/s41870-023-01176-z,International Journal of Information Technology
Extending W3C Thing Description to Provide Support for Interactions of Things in Real-Time,Daniel Flores-MartinJavier BerrocalJosé García-AlonsoJuan M. Murillo,2020,Chapter,10.1007/978-3-030-65665-2_4,http://link.springer.com/chapter/10.1007/978-3-030-65665-2_4,Current Trends in Web Engineering
A mathematical framework for design discovery from multi-threaded applications using neural sequence solvers,Srijoni MajumdarNachiketa ChatterjeePartha Pratim DasAmlan Chakrabarti,2021,Article,10.1007/s11334-021-00393-8,http://link.springer.com/article/10.1007/s11334-021-00393-8,Innovations in Systems and Software Engineering
Distributed model validation with Epsilon,Sina MadaniDimitris KolovosRichard F. Paige,2021,Article,10.1007/s10270-021-00878-x,http://link.springer.com/article/10.1007/s10270-021-00878-x,Software and Systems Modeling
A Programmer’s Text Editor for a Logical Theory: The SUMOjEdit Editor (System Description),Adam Pease,2020,Chapter,10.1007/978-3-030-51054-1_31,http://link.springer.com/chapter/10.1007/978-3-030-51054-1_31,Automated Reasoning
A cross-technology benchmark for incremental graph queries,Georg HinkelAntonio Garcia-DominguezRené SchöneArtur BoronatMassimo TisiThéo Le CalvarFrederic JouaultJózsef MartonTamás NyíriJános Benjamin AntalMárton ElekesGábor Szárnyas,2022,Article,10.1007/s10270-021-00927-5,http://link.springer.com/article/10.1007/s10270-021-00927-5,Software and Systems Modeling
Repository mining for changes in Simulink and Stateflow models,Monika JaskolkaVera PantelicAlan WassyngRichard F. PaigeMark Lawford,2023,Article,10.1007/s10270-023-01113-5,http://link.springer.com/article/10.1007/s10270-023-01113-5,Software and Systems Modeling
"Mi-Cho-Coq, a Framework for Certifying Tezos Smart Contracts",Bruno BernardoRaphaël CauderlierZhenlei HuBasile PesinJulien Tesson,2020,Chapter,10.1007/978-3-030-54994-7_28,http://link.springer.com/chapter/10.1007/978-3-030-54994-7_28,Formal Methods. FM 2019 International Workshops
Integrating wireless sensing and decision support technologies for real-time farmland monitoring and support for effective decision making,Pawan KumarSanjay MotiaS. R. N. Reddy,2023,Article,10.1007/s41870-018-0218-9,http://link.springer.com/article/10.1007/s41870-018-0218-9,International Journal of Information Technology
A descriptive study of assumptions in STRIDE security threat modeling,Dimitri Van LanduytWouter Joosen,2022,Article,10.1007/s10270-021-00941-7,http://link.springer.com/article/10.1007/s10270-021-00941-7,Software and Systems Modeling
"Information Superbahn: Towards a Planet-Scale, Low-Entropy and High-Goodput Computing Utility",Zhi-Wei XuZhen-Ying LiZi-Shu YuFeng-Zhi Li,2023,Article,10.1007/s11390-022-2898-7,http://link.springer.com/article/10.1007/s11390-022-2898-7,Journal of Computer Science and Technology
Convolutional neural network based children recognition system using contactless fingerprints,Kanchana RajaramN. G. Bhuvaneswari AmmaS. Selvakumar,2023,Article,10.1007/s41870-023-01306-7,http://link.springer.com/article/10.1007/s41870-023-01306-7,International Journal of Information Technology
Guest editorial for the special section on MODELS 2021,Shiva NejatiDániel Varró,2023,Article,10.1007/s10270-023-01108-2,http://link.springer.com/article/10.1007/s10270-023-01108-2,Software and Systems Modeling
An automated framework for verifying or refuting trace properties of extended finite state machines,Ramsay G. TaylorMichael FosterSiobhán North,2022,Article,10.1007/s10009-022-00666-y,http://link.springer.com/article/10.1007/s10009-022-00666-y,International Journal on Software Tools for Technology Transfer
An efficient approach for reviewing security-related aspects in agile requirements specifications of web applications,Hugo VillamizarMarcos KalinowskiAlessandro GarciaDaniel Mendez,2020,Article,10.1007/s00766-020-00338-w,http://link.springer.com/article/10.1007/s00766-020-00338-w,Requirements Engineering
Guest editorial for EMMSAD’2021 special section,Iris Reinhartz-BergerJelena ZdravkovicAsif Gill,2023,Article,10.1007/s10270-022-01058-1,http://link.springer.com/article/10.1007/s10270-022-01058-1,Software and Systems Modeling
Comparing mutation coverage against branch coverage in an industrial setting,Ali ParsaiSerge Demeyer,2020,Article,10.1007/s10009-020-00567-y,http://link.springer.com/article/10.1007/s10009-020-00567-y,International Journal on Software Tools for Technology Transfer
Test-Driven Feature Extraction of Web Components,Yong-Hao LongYan-Cheng ChenXiang-Ping ChenXiao-Hong ShiFan Zhou,2022,Article,10.1007/s11390-022-0673-4,http://link.springer.com/article/10.1007/s11390-022-0673-4,Journal of Computer Science and Technology
HATMOG: an enhanced hybrid task assignment algorithm based on AHP-TOPSIS and multi-objective genetic in cloud computing,Sahar Samsam ShariatBehrang Barekatain,2022,Article,10.1007/s00607-021-01049-y,http://link.springer.com/article/10.1007/s00607-021-01049-y,Computing
Promoting social diversity for the automated learning of complex MDE artifacts,Edouard R. BatotHouari Sahraoui,2022,Article,10.1007/s10270-021-00969-9,http://link.springer.com/article/10.1007/s10270-021-00969-9,Software and Systems Modeling
TConvRec: temporal convolutional-recurrent fusion model with additional pattern learning,Brijendra SinghRashi Jaiswal,2023,Article,10.1007/s41870-022-01116-3,http://link.springer.com/article/10.1007/s41870-022-01116-3,International Journal of Information Technology
Early-stage analysis of cyber-physical production systems through collaborative modelling,Mihai NeghinaConstantin-Bala ZamfirescuKen Pierce,2020,Article,10.1007/s10270-019-00753-w,http://link.springer.com/article/10.1007/s10270-019-00753-w,Software and Systems Modeling
Grand challenges in model-driven engineering: an analysis of the state of the research,Antonio BucchiaroneJordi CabotRichard F. PaigeAlfonso Pierantonio,2020,Article,10.1007/s10270-019-00773-6,http://link.springer.com/article/10.1007/s10270-019-00773-6,Software and Systems Modeling
Automated synthesis of local time requirement for service composition,Étienne AndréTian Huat TanManman ChenShuang LiuJun SunYang LiuJin Song Dong,2020,Article,10.1007/s10270-020-00787-5,http://link.springer.com/article/10.1007/s10270-020-00787-5,Software and Systems Modeling
Preface,Wen-Guang ChenYing-Wei LuoGuang-Yu Sun,2020,Article,10.1007/s11390-020-0003-7,http://link.springer.com/article/10.1007/s11390-020-0003-7,Journal of Computer Science and Technology
Extending a brainiac prover to lambda-free higher-order logic,Petar VukmirovićJasmin BlanchetteSimon CruanesStephan Schulz,2022,Article,10.1007/s10009-021-00639-7,http://link.springer.com/article/10.1007/s10009-021-00639-7,International Journal on Software Tools for Technology Transfer
