Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Source title,Conference name,Conference date,Conference location,Conference code,Sponsors,Cited by,Publication Stage,Open Access
A class-level test selection approach toward full coverage for continuous integration,,Li Y.; Wang J.; Wang Q.; Hu J.,2019,5,Conference paper,10.18293/SEKE2019-011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071394128&doi=10.18293%2fSEKE2019-011&partnerID=40&md5=8c7ef0ca0017441bad34e9a674a0b605,,"Continuous Integration (CI) is an important practice in agile development. With the growth of integration system, running all tests to verify the quality of submitted code, is clearly uneconomical. This paper aims at selecting a proper test subset towards full coverage of all changed and affected code so as to reduce the cost of CI testing. We proposes FEST, a novel approach, which searches for the full dependencies of changed code at the class level and then selects test classes related to the changed and affected classes. We assess FEST from fault detection efficiency and cost effectiveness based on 18 open source projects with 261 continuous integration versions from Eclipse and Apache communities, and compare it with the state-of-the-art approach ClassSRTS (as baseline). Results show that FEST (1) can not only cover all faults detected by actual CI testing and baseline, but also find new faults in 25% and 18% versions respectively. (2) shows better or equal test scale benefits than actual CI testing (in 98% versions) and baseline (in 99% versions); and can compensate risk of omitting necessary tests for actual CI testing (in 62% versions) and baseline (in 73% versions). © 2019 Knowledge Systems Institute Graduate School. All rights reserved.","Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE","31st International Conference on Software Engineering and Knowledge Engineering, SEKE 2019",10 July 2019 through 12 July 2019,Lisbon,150462,Knowledge Systems Institute Graduate School; KSI Research Inc.,1,Final,All Open Access; Bronze Open Access
"A generalized, enterprise-level systems development process framework for systems analysis and design education",,Topi H.; Spurrier G.,2019,12,Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081170743&partnerID=40&md5=d115bb3e6e7f3c68e1778b37c8a1fe0a,Agile; Enterprise systems development; Pedagogy; System development life cycle (SDLC); Systems analysis & design,"Current academic and industry discussions regarding systems development project approaches increasingly focus on agile development and/or DevOps, as these approaches are seen as more modern, streamlined, flexible, and, therefore, effective as compared to traditional plan-driven approaches. This extends to the current pedagogy for teaching systems analysis and design (SA&D). However, overemphasizing agile and DevOps neglects broader dimensions that are essential for planning and executing enterprise-level systems projects. Thus, a dilemma may arise: do we teach agile and DevOps techniques that may be inadequate for enterprise-level projects or do we teach the wider range of plan-driven skills and techniques that may conflict with the tenets and benefits of agile and DevOps? In this paper, we advocate for resolving this dilemma by adopting a generalized process framework that both fully supports enterprise-level projects but can also be selectively scaled back toward increased agility for smaller, less complex projects. In its full realization, this framework combines extensive project planning and up-front requirements with iterative delivery - an increasingly popular approach today for enterprise projects. In scaling back toward agile, the framework carefully accounts for system, environment, and team characteristics. Further, the model emphasizes issues frequently underemphasized by agile approaches, including the use of external software such as commercial-off-the-shelf (COTS), Software-as-a-Service (SaaS), and open source products and components; the need for business-oriented project planning and justification; and support for change management to ensure successful system adoption. The framework thereby flexibly accommodates the full range of activities that software projects must support to be successful. © 2019 by the Information Systems & Computing Academic Professionals, Inc.",Journal of Information Systems Education,,,,,,3,Final,
A numerical investigation on the thermo-chemical structures of methane-oxygen diffusion flame-streets in a microchannel,,Kang X.; Sun B.; Wang J.; Wang Y.,2019,15,Article,10.1016/j.combustflame.2019.05.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065602980&doi=10.1016%2fj.combustflame.2019.05.006&partnerID=40&md5=6d725293e4b8109f81b7702a81a6a3c4,Diffusion flame; Edge flame; Flame-street; Micro-combustion; Numerical simulation,"“Flame-street” refers to the interesting combustion phenomenon that a diffusion flame in a narrow channel is separated into a discrete series of flame segments. Although flame-street has been observed experimentally for more than a decade, numerical simulations of this phenomenon with realistic chemistry and detailed analysis of its thermo-chemical structures have yet to be performed. In this paper, the methane-oxygen diffusion flame-street observed by Misse et al. (2005) [36] in a microchannel was numerically reproduced using a reacting flow solver developed based on the open-source framework OpenFOAM. The main purpose of the present work is to investigate the detailed thermo-chemical structures of diffusion flame-street in the anticipation of a deep understanding of the underlying mechanisms responsible for its formation. Our simulation results show that the presence of discrete flame segments can strongly affect the flow field. In addition, the flame-street was found to consist of a bibrachial leading flame with a long diffusion tail and a much weaker fuel-lean premixed branch, and consecutive downstream “new moon”-like flamelets each with a fuel-lean and a fuel-rich premixed branch. Chemical structures of these flame branches were analyzed by examining critical reactions that contribute significantly to the overall heat release. Finally, the effects of channel wall thermal conditions and species mass diffusion on the formation of the flame-street were investigated. It was found that the flame street could be established only at a moderate level of heat loss to the wall: significantly enhanced or reduced heat losses would result in either a single short edge flame or a long continuous edge flame. Increased mass diffusivity was seen to enhance combustion, elongate the leading flame, and even lead to more flame segments that appeared within the channel, although they may exist in a unsteady mode, being repetitively split, moving downstream and being blown-out/extinguished. © 2019 The Combustion Institute",Combustion and Flame,,,,,,18,Final,
A survey on vulnerability assessment tools and databases for cloud-based web applications,,Kritikos K.; Magoutis K.; Papoutsakis M.; Ioannidis S.,2019,,Article,10.1016/j.array.2019.100011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084851615&doi=10.1016%2fj.array.2019.100011&partnerID=40&md5=d90dc06072466fed79ddcfb49dc1023d,Accuracy; Assessment; Database; Evaluation; Performance; Scanning; Survey; Tools; Vulnerability,"Due to its various offered benefits, an ever increasing number of applications are migrated to the cloud. However, such a migration should be carefully performed due to the cloud's public nature. Further, due to the agile development cycle that applications follow, their security level might not be the best possible, exhibiting various sorts of vulnerability. As such, to better support application migration and runtime provisioning, this article supplies three main contributions. First, it attempts to connect vulnerability management to the application lifecycle so as to highlight the exact moments where application vulnerability assessment must be performed. Second, it analyses the state-of-the-art open-source tools and databases so as to enable developers to make an informed decision about which ones to select. In this sense, discovering such vulnerabilities will enable to better secure applications before or after migrating them to the cloud. The analysis conducted is quite rich, covering various aspects and a rich sets of criteria. Third, it explores the claim that vulnerability scanning tools need to be orchestrated to reach the highest possible vulnerability coverage, both in terms of extend and breadth. Finally, this article concludes with some challenges that current vulnerability tools and databases need to face to increase their added-value and applicability level. © 2019 The Authors",Array,,,,,,22,Final,All Open Access; Gold Open Access
Agile challenges and chances for open source: Lessons learned from managing a floss project,,Muller M.,2019,5,Conference paper,10.1109/ICOS.2018.8632819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062868063&doi=10.1109%2fICOS.2018.8632819&partnerID=40&md5=6c5b9f3432d740e4635ba5bec309713f,Agile; Collaboration; FLOSS; Open communities; Open innovation; Open source,"Open source projects got an important part today's software landscape. Thousands of these projects are collaboratively driven by communities following a shared vision. But governing open communities towards this shared vision comes along with various difficulties. In general, agile methods allow to manage such systems of collaborative development and constant change. But as this work shows, the agile approach not only provides chances in open settings. A variety of challenges occur that need to be considered. The case of Catrobat, a Free/Libre Open Source project, shows that although open source development and agile methods evolved over the last years, the dynamics of open communities still challenge the agile way. However, evaluating and understanding these dynamics, as well as introducing agile elements, such as the role of product owners, can be beneficial for managing open systems and to drive it into a common direction together with the contributors. © 2018 IEEE.","2018 IEEE Conference on Open Systems, ICOS 2018","2018 IEEE Conference on Open Systems, ICOS 2018",21 November 2018 through 22 November 2018,Langkawi,144760,,6,Final,
Application of the SCRUM Software Methodology for Extending Simulation of Urban MObility (SUMO) Tools,,Acosta A.F.; Espinosa J.E.; Espinosa J.,2019,12,Book chapter,10.1007/978-3-319-33616-9_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071108188&doi=10.1007%2f978-3-319-33616-9_1&partnerID=40&md5=cf2d65c3a45a1216c649e190d9bdc987,Model View Controller; Product Backlog; Scrum Meetings; Scrum Methodology; Simulation Of Urban Mobility (SUMO),"This chapter explains the implementation of software tools for setting up multimodal simulation scenarios in the Simulation of Urban MObility (SUMO). This implementation has been supported by the SCRUM methodology, which is a methodology suitable for incremental software development. Implementation of these tools starts from the re-engineering of open-source tools in previous developments. Furthermore, the new components are described and tested in a simulation scenario in the city of Medellín. © 2019, Springer International Publishing AG, part of Springer Nature.",Lecture Notes in Mobility,,,,,,8,Final,
Building bridges to customer needs in open source documentation,,Hardin A.R.,2019,,Conference paper,10.1145/3328020.3353917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074783986&doi=10.1145%2f3328020.3353917&partnerID=40&md5=a6c95c81414e80ce19c82b98452d5cf4,Agile software development; Collaborative writing; Open source documentation; User stories,"The Red Hat OpenShift documentation repository is situated in a unique open source environment in which anybody with a GitHub account can contribute directly to the documentation set. One of the primary contributors to the documentation repository are developers, which presents a challenge. The technical writers on the Red Hat OpenShift documentation team who collaboratively write, edit, and merge these contributions are faced with the challenge of maintaining user-centered rather than engineering- centered documentation. Furthermore, the technical writers lack direct interaction with external customers. Considering these challenges, this industry insight report discusses several methods that can be employed to maintain a customer-centric focus and improve the documentation set: focus on user stories, network with internal customers and stakeholders who work closest with external customers, and seek opportunities to work on customer cases. © 2019 Association for Computing Machinery.",SIGDOC 2019 - Proceedings of the 37th ACM International Conference on the Design of Communication,"37th ACM International Conference on the Design of Communication, SIGDOC 2019",4 October 2019 through 6 October 2019,Portland,153031,ACM Special Interest Group on Systems Documentation (SIGDOC),0,Final,
Comparing RFID tags performance through software defined radio,,Zargariasl H.; Solic P.; Rados K.; Perkovic T.; Blazevic Z.; Rodrigues J.J.P.C.,2019,4,Conference paper,10.1109/RFID-TA.2019.8892147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075710225&doi=10.1109%2fRFID-TA.2019.8892147&partnerID=40&md5=9e2bb14faefeb3aa07fe8e65f266099c,GNU Radio; RFID reader; Signal-to-Noise Ratio (SNR); Software Defined Radio (SDR),"RFID tags, made of IC and connected antenna represent a huge advantage in process automation. Now, it is possible to track, identify and get tagged item status in real time. However, the weaknesses of technology cause tags to be missed during the read process which can happen due to many different reasons. Consumers would appreciate if these performances can be given in a lean way. Although many contributions done so far to evaluate the performances, still there is certain space for improvements from different aspects ranging from cost-effectiveness of the platform to particular metrics of interest to be defined upon specific test scenario. This paper, in tutorial fashion, provides results obtained from SDR-based measurement platform. The results can be used for building custom-based performance metrics and evaluate RFID tags in particular scenario. © 2019 IEEE.","2019 IEEE International Conference on RFID Technology and Applications, RFID-TA 2019","2019 IEEE International Conference on RFID Technology and Applications, RFID-TA 2019",25 September 2019 through 27 September 2019,Pisa,154150,,0,Final,
Continuous Testing in the Development of IoT Applications,,Guseila L.G.; Bratu D.-V.; Moraru S.-A.,2019,,Conference paper,10.1109/ISSI47111.2019.9043692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083197670&doi=10.1109%2fISSI47111.2019.9043692&partnerID=40&md5=ecb72ce5a172229db887dca371faa514,Agile Development; Automated Testing; Cloud Computing; Continuous Development; Continuous Integration; Continuous Testing; DevOps; IoT,"Internet-of-Things has evolved with the increased volume of data of interconnecting the physical world to the Internet. Cloud provides the underlying power for IoT to become a disrupting technology, revolutionizing the cloud, as we know it. IoT applications need to adapt frequently and rapidly to new requests. Increasing competition and rapidly changing market needs require from nowadays companies' flexibility and fast time to market of their products. To achieve these goals more and more organizations are relying on new IT technologies and software development processes. Though there are many publications around DevOps as a methodology and the use of a process for continuous integration and continuous development, there are fewer solutions provided which incorporate a software delivery pipeline incorporating all processes: continuous business planning, agile development, continuous integration, continuous deployment and continuous testing. The paper proposes a DevOps architecture and agile tools to be used in the implementation of a fully integrated DevOps pipeline based on open-source. Furthermore, continuous testing is covering test best practices and methods, which along with the DevOps pipeline can be widely implemented in any cloud environment, regardless of the cloud provider chosen. © 2019 IEEE.","2019 International Conference on Sensing and Instrumentation in IoT Era, ISSI 2019","2019 International Conference on Sensing and Instrumentation in IoT Era, ISSI 2019",29 August 2019 through 30 August 2019,Lisbon,158816,,3,Final,
Design of a dynamic boot loader for loading an operating system,,Sebastian A.; Sankar K.S.,2019,6,Article,10.3844/jcssp.2019.190.196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061613306&doi=10.3844%2fjcssp.2019.190.196&partnerID=40&md5=980918c95c870ca451d268c92f956939,Boot loader; Dynamic; Open source OS; Operating system; USB,"Boot Loader is the crucial program that loads the operating system in memory and initializes the system. In today's world people are constantly on move and portable system are in demand specially the USB devices due to its portability and accessibility compared to CD/DVD drives. The purpose of this paper is to design a dynamic boot loader which removes the BIOS dependency and allow user to boot from USB without changing CMOS settings. The USB is devised as plug and play portable system with puppy Linux and newly developed dynamic boot loader. The device is experimented on a computer machine with 8 GB RAM, i5 processor, 64-bit Operating system and windows 7 and observed that nearly 50% reduction in booting time i.e., the time spent in changing the boot order is eliminated compared to the static boot loader. The time spent in the BIOS is dependent on the user knowledge in changing the boot priority. The portable system allows the user to work in ease in any environment with minimum requirement of Windows XP and USB 2.0 compatible system. © 2019 Alycia Sebastian and Dr. K. Siva Sankar.",Journal of Computer Science,,,,,,2,Final,All Open Access; Hybrid Gold Open Access
Development of medical records exchange system-a case of OpenMRS and Care2X,,Rweikiza G.; Machuve D.,2019,6,Article,10.19101/IJATEE.2019.650011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153754520&doi=10.19101%2fIJATEE.2019.650011&partnerID=40&md5=bf89ce6ffa3a745489e8ef8a4d840d7d,Data integration; E-medical recording system; Medical records,"A significant number of healthcare delivery services in developing countries continue to adopt eHealth systems, enabled by information and communication technology (ICT). Open source health information systems (HIS) such as OpenMRS and Care2X are increasingly adopted in resource constrained countries including Tanzania. The exchange of patients’ information in terms of electronic medical records (EMR) between different types of HIS is challenged by the heterogeneity. This brings challenges in integrating medical data and also interoperability of the e-medical recording systems became complicated. In this study, we proposed a medical records exchange system (MRES) prototype for exchange of information on OpenMRS and Care2x hospital information systems. The software development was done using Agile methodology and implemented in a web-based application framework that allowed for ease of integration and use of health information systems at medical facilities. The MRES allows for exchange of medical information when patients are transferred from one hospital to another overcoming the queues and paper work involved in the process. © 2019, Accent Social and Welfare Society. All rights reserved.",International Journal of Advanced Technology and Engineering Exploration,,,,,,0,Final,All Open Access; Bronze Open Access
DevOps architecture in the cloud; [Bulut üzerinde DevOps mimarisi],,Demiral Y.; Carkaci N.; Cekmez U.,2019,,Conference paper,10.1109/SIU.2019.8806433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071979292&doi=10.1109%2fSIU.2019.8806433&partnerID=40&md5=23807b9cc14d792453f9d604b5e7f69a,Agile Development; Cloud Computing; Container; Continuous Integration; DevOps; Microservices,"Developing technology and information systems have gained a great place in our lives and the importance of scalable software, cloud computing and distributed architectures has increased. With these developments, the necessity of providing seamless service of development and operational processes, monitoring and auto-management of these complex architectures has born. Thus, the DevOps concept aiming to conduct both software projects in an automatic seamless way and cooperation between the developer teams has emerged. In recent years, conducting DevOps pipeline consisting of software planning, coding, compilation, versioning, testing, publishing and managing have been implemented on cloud technologies to create better performance and fault tolerant structure. In this study, agile development, continuous integration and gradual operation of delivery processes for containerized technologies are implemented and evaluated on OpenStack, one of the private open source cloud infrastructures, with respect to DevOps principles. © 2019 IEEE.","27th Signal Processing and Communications Applications Conference, SIU 2019","27th Signal Processing and Communications Applications Conference, SIU 2019",24 April 2019 through 26 April 2019,Sivas,151073,,0,Final,
Educational trends in software engineering: A systematic review study,,Acosta N.D.; Garcia M.B.; Romero J.B.; Sevillano A.L.; Paez N.F.; Roa O.,2019,,Conference paper,10.1109/CONIITI48476.2019.8960866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079059591&doi=10.1109%2fCONIITI48476.2019.8960866&partnerID=40&md5=f214f39f82165f3f71ff95213c189a79,Course; curriculum; learning; Software engineering; teaching,"Although there is an updated knowledge's body in software engineering, even so the curricular guides must be updated periodically. This article presents a systematic review study, which addresses the need to provide suggestions regarding the issues that should be emphasized in the area of software engineering in the systems and computer engineering program at the Catholic University of Colombia. 20 themes were identified, presented in 855 selected studies and which are studied in 50 articles, at a minimum. The most studied topic is related to software design (91.5%), followed by software development in (58%), testing and software quality in (55.5%), open source software in (33.5%), software architecture (23%), web technologies (22%), agile methodologies (18.5%), software project management (16%), software development processes (12%)), C C ++ programming language (11%), programming languages, object-oriented programming and graphical user interface (10%), Java programming language (9%), prototype-based software development in (8.5%), requirements, standards and computer-aided software engineering in (8%), mobile software and cloud services in a (7%). The results indicate the top 20 of the essential topics in a curriculum of the software engineering area. © 2019 IEEE.","2019 Congreso Internacional de Innovacion y Tendencias en Ingenieria, CONIITI 2019 - Conference Proceedings","2019 Congreso Internacional de Innovacion y Tendencias en Ingenieria, CONIITI 2019 - 5th International Conference on Innovation and Trends in Engineering, CONIITI 2019",2 October 2019 through 4 October 2019,Bogota,156896,IEEE Colombia Section Technology and Engineering Management Chapter; IEEE Region 9; Universidad Catolica de Colombia,1,Final,
Engaging students in open source: Establishing FOSS development at a university,,Müller M.; Schindler C.; Slany W.,2019,9,Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068959973&partnerID=40&md5=3de11f237a28c61dfe250003a8a3dc50,,"Open source is widely used for educational purposes in higher education around the world. While many educators use open source resources for teaching, there seems to be few contributions to such projects of students as part of their university courses. In this work we present our experience on establishing open source development from student contributors as part of their university curriculum. Since 2010 more than 300 students from Graz University of Technology have been involved in the presented Catrobat project and have gained knowledge about agile software development as well as several related domains, e.g., project management, marketing, or graphical design. In this paper we provide detailed insights into the project's organization and evaluate in a study how students feel in this setting. As we conclude, bringing open source to university courses is an effective practical approach based on social learning and provides benefits for students and researchers. © 2019 IEEE Computer Society. All rights reserved.",Proceedings of the Annual Hawaii International Conference on System Sciences,"52nd Annual Hawaii International Conference on System Sciences, HICSS 2019",8 January 2019 through 11 January 2019,Maui,169517,IBM; McGraw Hill Education; Pacific Research Institute for Information Systems and Management (PRIISM); The International Society of Service Innovation Professionals,11,Final,
"Evaluating gant project, orange scrum, and ProjeQtOr open source project management tools using QSOS",,Proença C.R.; Bernardino J.,2019,6,Conference paper,10.5220/0007956605220528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073118139&doi=10.5220%2f0007956605220528&partnerID=40&md5=2f9cf542b1463abcaf11a900d985c65a,Assessment methodologies; Gantt project; Open source software; Orange scrum; Project management tools; ProjeQtOr; Qualification and selection of open source software,"The task of managing a software project is an extremely complex job, drawing on many personal, team, and organizational resources. We realized that exist many project management tools and software being developed every day to help managers to automate the administration of individual projects or groups of projects during their life-cycle. Therefore, it is important to identify the software functionalities and compare them to the intended requirements of the company, to select which software complements the expectations. This paper presents a comparison between three of the most popular open source project management tools: Gantt Project, OrangeScrum, ProjeQtOr. To assess these project management tools is used the Qualification and Selection Open Source (QSOS) methodology. Copyright © 2019 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",ICSOFT 2019 - Proceedings of the 14th International Conference on Software Technologies,"14th International Conference on Software Technologies, ICSOFT 2019",26 July 2019 through 28 July 2019,Prague,151484,"Institute for Systems and Technologies of Information, Control and Communication (INSTICC)",1,Final,
Exploring Virtual Reality as an Integrated Development Environment for Cyber-Physical Systems,,Mikkonen T.; Kemell K.-K.; Kettunen P.; Abrahamsson P.,2019,4,Conference paper,10.1109/SEAA.2019.00027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076008278&doi=10.1109%2fSEAA.2019.00027&partnerID=40&md5=878d99e4e70f8e421924edd59b2910aa,Agile Software Development; Collaboration; Cyber-Physical Systems (CPS); Digital Twin; Embedded Systems; Integrated Development Environment (IDE); Reality (VR); Simulation; Virtual Twin; Virtualization,"Cyber Physical Systems (CPS) development approaches tend to start from the physical (hardware) perspective, and the software is the final element in the process. However, this approach is unfit for the more software-intensive world that is increasingly iterative, connected, and constantly online. Many constraints prevent the application of iterative, incremental, and agile development methodologies, which now are the norm for many other fields of software. Time-consuming system validation can only start when both hardware and software components are ready, which implies that the software delivery and quality is almost always the final bottleneck in the CPS development and integration. Also organizational issues raise concerns-CPS development teams are nowadays often geographically distributed, which can result in delays in the process, shortcomings, and even mistakes. In this paper, we propose using our envisioned open-source Virtual Reality-based Integrated software Development Environment (VRIDE) for developing the next generation, increasingly software-intensive CPSs in efficient ways. © 2019 IEEE.","Proceedings - 45th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2019","45th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2019",28 August 2019 through 30 August 2019,"Kallithea, Chalkidiki",155032,,3,Final,All Open Access; Green Open Access
Fluid structure interactions modelling in vented lean deflagrations,,Vendra C.M.R.; Wen J.X.,2019,11,Article,10.1016/j.jlp.2019.06.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067856004&doi=10.1016%2fj.jlp.2019.06.004&partnerID=40&md5=4bc85a772f4952957b0a7e84221fd25f,Fluid structure interactions; Hydrogen; ISO containers; OpenFOAM; Safety; Vented deflagrations,"The standard 20 ft ISO containers are studied both experimentally and numerically with model obstacles to ascertain the peak overpressures generated in case of an accidental fast deflagrations. Apart from overpressure its often important to know the maximum deflections of the enclosures to examine the structural integrity. The container walls are not rigid; they not only contribute through acoustic response to the pressure waves but also through structural resonance response to the generated overpressures, to capture these effects its necessary to do the Fluid Structure Interaction (FSI) or in simple terms the coupled Computational Fluid Dynamics (CFD) and Finite element analysis (FE) simulations. Alternatively, the structural response can be coupled to CFD simulation in either one-way or two-way interactions to reduce the associated computation efforts. Numerical simulations have been conducted with a pseudo two-way coupled CFD & FSI, to aid our understanding of the combination of various factor contributing for the generation of overpressures using an in-house solver developed based on open source CFD code OpenFOAM named as HyFOAM. The CFD solver solves the compressible Navier-stokes equations along with the spring-mass-damper system's single degree of freedom motion equation for coupled fluid structure interactions. The turbulent flame deflagrations are modelled using the flame area combustion model, the necessary modification are incorporated to governing equations to include the dominant flame instabilities present during the vented deflagration process. For lean hydrogen mixtures the Lewis number effects are important hence suitable modelling improvements are added to the combustion model. The numerical results are validated against the recent experiments conducted at Gexcon, Norway as part of the HySEA project supported by the Fuel Cells and Hydrogen 2 Joint Undertaking (FCHJU) under the Horizon 2020 Framework Programme for Research and Innovation. Numerical predictions of CFD and FSI coupled, are assessed against the experimental results to study the contributing factors affecting the generated overpressure with in the ISO containers in view to overall improve the numerical predictions. © 2019 Elsevier Ltd",Journal of Loss Prevention in the Process Industries,,,,,,2,Final,All Open Access; Green Open Access
Implementation of a gateway for protocols in the 802.15.4 standard using open source and the hardware development board (raspberry); [Implementación de un gateway para protocolos en la norma 802.15.4 utilizando open source y la placa de desarrollo de hardware (raspberry)],,Toapanta F.; Guarda T.,2019,12,Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077641976&partnerID=40&md5=a9723a0d9977d102a2b0ebd5724d8299,Gateway; IoT; Metodología Ágil Scrum; Raspberry; WPAN,"Mobile technologies have undergone an evolution in the last two decades, mainly in the optimization of infrastructure, adapting them to new technologies that provide greater coverage, quality and speed in transmissions; with new services that require large rates of speed. he purpose of this paper is to analyze the implementation of a Gateway for the IEEE 802.15.4 standard with Open Source tools and the Raspberry Pi 3 development board, using the Agile Development methodology. Here the characteristics in its architecture, protocols and other fundamental aspects are presented so that the reader has a better understanding of it. © 2019, Associacao Iberica de Sistemas e Tecnologias de Informacao. All rights reserved.",RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,,,,,,1,Final,
Introducing Agile Product Owners in a FLOSS Project,,Müller M.; Schindler C.; Slany W.,2019,5,Conference paper,10.1007/978-3-030-20883-7_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068961289&doi=10.1007%2f978-3-030-20883-7_4&partnerID=40&md5=5d5bdd01d92667effab6875b06b5d5a5,Agile Software Development; FLOSS; Open Source Software; Sponsored Open Source Communities,"Sponsored Open Source Software projects, driven by various actors, have to balance the needs of volunteer contributors and business objectives. This work presents Catrobat, a FLOSS project established at Graz University of Technology, and how it introduced agile product owners. Product owners communicate the product vision, provide a general direction, decide about features, and prioritize requirements that are implemented by the community, i.e., they are ultimately responsible for the product. This agile approach is intended to ensure a certain outcome, such as business objectives, but also to react to the needs of community members and users on a short-term basis. This paper presents how therefore this role has been defined and the processes have been adapted. © IFIP International Federation for Information Processing 2019.",IFIP Advances in Information and Communication Technology,"15th International Conference on Open Source Systems, OSS 2019",26 May 2019 through 27 May 2019,Montreal,228029,,2,Final,All Open Access; Green Open Access
Introducing Automated Verification and Validation for Virtualized Network Functions and Services,,Peuster M.; Schneider S.; Zhao M.; Xilouris G.; Trakadas P.; Vicens F.; Tavernier W.; Soenen T.; Vilalta R.; Andreou G.; Kyriazis D.; Karl H.,2019,6,Article,10.1109/MCOM.2019.1800873,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065860581&doi=10.1109%2fMCOM.2019.1800873&partnerID=40&md5=ba850d7d33c2a44ded1e014182419b5b,,"NFV and SDN transform network management and operation into agile development tasks. They involve software artefacts, which are managed and deployed as composite services using DevOps principles. Those softwarized networks rely on complex technology stacks, starting with low-level virtualization technologies and ranging up to machine-learning-based orchestration solutions. One of the main challenges in those environments is to verify that the deployed functions and services operate correctly and meet the quality goals set by the stakeholders before they are put into production. We tackle this challenge by introducing the novel concept of a verification and validation (V&V) platform for NFV, which enables automatic testing and qualification of single network functions and complex services. By adding such a platform to the NFV ecosystem, new business models emerge, as we discuss in this article. We evaluate our proposed concepts by presenting a case study that uses our open source V&V platform to verify and validate the behavior and performance of a real-world network service. © 1979-2012 IEEE.",IEEE Communications Magazine,,,,,,25,Final,All Open Access; Green Open Access
Learning to Identify Security-Related Issues Using Convolutional Neural Networks,,Palacio D.N.; McCrystal D.; Moran K.; Bernal-Cardenas C.; Poshyvanyk D.; Shenefiel C.,2019,4,Conference paper,10.1109/ICSME.2019.00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077192076&doi=10.1109%2fICSME.2019.00024&partnerID=40&md5=27a850892192fe1ebc10bbc27de25e50,cnn; Deep learning; sdl; security issues,"Software security is becoming a high priority for both large companies and start-ups alike due to the increasing potential for harm that vulnerabilities and breaches carry with them. However, attaining robust security assurance while delivering features requires a precarious balancing act in the context of agile development practices. One path forward to help aid development teams in securing their software products is through the design and development of security-focused automation. Ergo, we present a novel approach, called SecureReqNet, for automatically identifying whether issues in software issue tracking systems describe security-related content. Our approach consists of a two-phase neural net architecture that operates purely on the natural language descriptions of issues. The first phase of our approach learns high dimensional word embeddings from hundreds of thousands of vulnerability descriptions listed in the CVE database and issue descriptions extracted from open source projects. The second phase then utilizes the semantic ontology represented by these embeddings to train a convolutional neural network capable of predicting whether a given issue is security-related. We evaluated SecureReqNet by applying it to identify security-related issues from a dataset of thousands of issues mined from popular projects on GitLab and GitHub. In addition, we also applied our approach to identify security-related requirements from a commercial software project developed by a major telecommunication company. Our preliminary results are encouraging, with SecureReqNet achieving an accuracy of 96% on open source issues and 71.6% on industrial requirements. © 2019 IEEE.","Proceedings - 2019 IEEE International Conference on Software Maintenance and Evolution, ICSME 2019","2019 IEEE International Conference on Software Maintenance and Evolution, ICSME 2019",30 September 2019 through 4 October 2019,Cleveland,155692,,15,Final,All Open Access; Green Open Access
