Title,S1,Authors,Year,Pages,Document Type,DOI,Link,Keywords,Abstract,Citation Count,Reference Count,Online Date,Date Added To Xplore,Publication Title
Qualifying Software Engineers Undergraduates in DevOps - Challenges of Introducing Technical and Non-technical Concepts in a Project-oriented Course,,I. Alves; C. Rocha,2021,9,IEEE Conferences,10.1109/ICSE-SEET52601.2021.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402207,DevOps;education;Open-source;OSS;FOSS;Empirical-software-engineering;Agile-software-development;Emerging-domains-of-software;Tools-and-environments,"he constant changes in the software industry, practices, and methodologies impose challenges to teaching and learning current software engineering concepts and skills. DevOps is particularly challenging because it covers technical concepts, such as pipeline automation, and non-technical ones, such as team roles and project management. The present study investigates a course setup to introduce these concepts to software engineering undergraduates. We designed the course by employing coding to associate DevOps concepts to Agile, Lean, and Open source practices and tools. We present the main aspects of this project-oriented DevOps course, with 240 students enrolled it since its first offering in 2016. We conducted an empirical study, with both a quantitative and qualitative analysis, to evaluate this project-oriented course setup. We collected the data from the projects repository and students' perceptions from a questionnaire. We mined 148 repositories (corresponding to 72 projects) and obtained 86 valid responses to the questionnaire. We also mapped the concepts which are more challenging to students learn from experience. The results evidence that first-hand experience facilitates the comprehension of DevOps concepts and enriches classes discussions. we present a set of lessons learned, which may help professors better design and conduct project-oriented courses to cover DevOps concepts.",3,34,07-May-21,07-May-21,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
Investigating the Effectiveness of Clustering for Story Point Estimation,,V. Tawosi; A. Al-Subaihin; F. Sarro,2022,11,IEEE Conferences,10.1109/SANER53432.2022.00101,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825830,Software Effort Estimation;Story Point Estimation;Latent Dirichlet Allocation;Hierarchical Clustering,"Automated techniques to estimate Story Points (SP) for user stories in agile software development came to the fore a decade ago. Yet, the state-of-the-art estimation techniques' accuracy has room for improvement. In this paper, we present a new approach for SP estimation, based on analysing textual features of software issues by employing latent Dirichlet allocation (LDA) and clustering. We first use LDA to represent issue reports in a new space of generated topics. We then use hierarchical clustering to agglomerate issues into clusters based on their topic similarities. Next, we build estimation models using the issues in each cluster. Then, we find the closest cluster to the new coming issue and use the model from that cluster to estimate the SP. Our approach is evaluated on a dataset of 26 open source projects with a total of 31,960 issues and compared against both baselines and state-of-the-art SP estimation techniques. The results show that the estimation performance of our proposed approach is as good as the state-of-the-art. However, none of these approaches is statistically significantly better than more naive estimators in all cases, which does not justify their additional complexity. We therefore encourage future work to develop alternative strategies for story points estimation. The experimental data and scripts we used in this work are publicly available to allow for replication and extension.",1,52,21 jul. 2022,21 jul. 2022,"2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)"
Machine Learning-based Estimation of Story Points in Agile Development: Industrial Experience and Lessons Learned,,M. Abadeer; M. Sabetzadeh,2021,9,IEEE Conferences,10.1109/REW53955.2021.00022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582288,Agile Development;Story-point Estimation;Machine Learning,"Estimating story points is an important activity in agile software engineering. Story-point estimation enables software development teams to, among other things, better scope products, prioritize requirements, allocate resources and measure progress. Several machine learning techniques have been proposed for automated story-point estimation. However, most of these techniques use open-source projects for evaluation. There are important differences between open-source and commercial projects with respect to story authoring. The goal of this paper is to evaluate a state-of-the-art machine learning technique, known as Deep-SE [3], for estimating story points in a commercial project. Our dataset is comprised of 4,727 stories for a data anonymization product developed by a 27-member agile team at a healthcare data science company, IQVIA. Over this dataset, Deep-SE achieved a mean absolute error of 1.46, significantly better than three different baselines. Model performance nonetheless varied across stories, with the estimation error being larger for stories that had higher points. Our results further indicate that model performance is correlated with certain story characteristics such as the level of detail and the frequency of vague terms in the stories. An important take-away from our study is that, before organizations attempt to introduce machine learning-based estimation into agile development, they need to better embrace agile best practices, particularly in relation to story authoring and expert-based estimation.",2,23,27-Oct-21,27-Oct-21,2021 IEEE 29th International Requirements Engineering Conference Workshops (REW)
Assessing the Risk of Software Development in Agile Methodologies Using Simulation,,M. I. Lunesu; R. Tonelli; L. Marchesi; M. Marchesi,2021,18,IEEE Journals,10.1109/ACCESS.2021.3115941,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9548910,Effort estimation error;random issue allocation;risk analysis;software process simulation;Agile;simulation;Monte Carlo methods;software development management,"Agile methodologies aim to reduce software development risk using short iterations, feature-driven development, continuous integration, testing automation, and other practices. However, the risk of project failure or time and budget overruns is still a relevant problem. This paper aims to present and discuss a new approach to model some key risk factors in agile development, using software process simulation modeling (SPSM), which can complement other approaches, and whose usage is particularly suited for agile development. We introduce a new approach to modeling some key risk factors – namely project duration, number of implemented issues, and key statistics of issue completion time – using a simulator of agile development, which we developed for this purpose. The approach includes modeling the agile process, gathering data from the tool used for project management, and performing Monte Carlo simulations of the process, to get insights about the expected time and effort to complete the project, and about their distributions. The model’s parameters that can cause risk are errors in effort estimation of the features to develop, variations in developers’ assignment to these features, impediments related to developers’ availability and work completion. To validate the simulator, and to demonstrate how the method can be used, we analyzed three open-source projects, gathering their data from JIRA repositories. We ran Monte Carlo simulations of these projects, showing that the simulator can well approximate the progress of the real project, then varying the identified risk factors and statistically evaluating their effects on the risk parameters. The proposed approach is relevant for project managers, being able to quantitatively evaluate the risks, provided that the process and the project’s data are properly modeled and gathered. As for the future, we are working to improve our risk assessment method, evaluating it on more case studies, scaling the model from a single team to multiple teams involved in one or more projects.",2,54,27-Sep-21,05-Oct-21,IEEE Access
Hardware Data Prefetch for XiangShan Processor,,Y. Zhu; J. Zheng; S. Ding; L. Li,2022,3,IEEE Conferences,10.1109/ICICM56102.2022.10011259,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011259,prefetch;XiangShan processor;out-of-order;opensource,"XiangShan, a rising star of RISC-V-based processors proposed by Chinese Academy of Science, is famous for its high performance and agile methodology. At present, the second-generation Yanqi Lake architecture of XiangShan has already reached the frequency of 2GHz at the 14nm process node, which ranks the first in the field of open-source RISC-V-based processors. One of the key approaches that contribute to its high performance is prefetch. A timely and accurate prefetcher can effectively eliminate cache misses and thus hide memory access latency. Aiming at the specific environment of XiangShan, out-of-order and parallel, a stride-based prefetcher for the L1DCache is achieved on the Yanqi Lake structure of XiangShan. Serious benchmarks from SPEC2006 were run on XiangShan, the result of which demonstrates that our prefetcher improves the performance of XiangShan by an average of 2.5% and up to 13.3%.",,9,16 jan. 2023,16 jan. 2023,2022 7th International Conference on Integrated Circuits and Microsystems (ICICM)
NNStreamer: Efficient and Agile Development of On-Device AI Systems,,M. Ham; J. Moon; G. Lim; J. Jung; H. Ahn; W. Song; S. Woo; P. Kapoor; D. Chae; G. Jang; Y. Ahn; J. Lee,2021,9,IEEE Conferences,10.1109/ICSE-SEIP52600.2021.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402062,neural network;on-device AI;stream processing;pipe and filter architecture;open source software,"We propose NNStreamer, a software system that handles neural networks as filters of stream pipelines, applying the stream processing paradigm to deep neural network applications. A new trend with the wide-spread of deep neural network applications is on-device AI. It is to process neural networks on mobile devices or edge/IoT devices instead of cloud servers. Emerging privacy issues, data transmission costs, and operational costs signify the need for on-device AI, especially if we deploy a massive number of devices. NNStreamer efficiently handles neural networks with complex data stream pipelines on devices, significantly improving the overall performance with minimal effort. Besides, NNStreamer simplifies implementations and allows reusing off-the-shelf media filters directly, which reduces developmental costs significantly. We are already deploying NNStreamer for a wide range of products and platforms, including the Galaxy series and various consumer electronic devices. The experimental results suggest a reduction in developmental costs and enhanced performance of pipeline architectures and NNStreamer. It is an open-source project incubated by Linux Foundation AI & Data, available to the public and applicable to various hardware and software platforms.",3,42,07-May-21,07-May-21,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)
pyDAW: A Pragmatic CLI for Digital Audio Processing,,P. Hassaballah; M. A. . -M. Salem; H. Othman,2019,5,IEEE Conferences,10.1109/ICCES48960.2019.9068106,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068106,Digital Audio Workstations;Command Line Interface;SoX;Digital Audio Analysis;Python;Sound and music computing;Ffmpeg;Multimedia applications;software engineering,"Digital Audio Workstations (DAW) are tools for mastering and mixing audio files, in the broader context of large-scale audio processing. Among many other processes, they allow users to perform advanced processes (e.g. Mastering and Equalization) on audio files and apply a chains of audio effects (e.g. Gain, reverb) using sophisticated GUI. DAWs has proven to be a useful resource for Digital Signal Processing (DSP) tasks, and in particular for music production. While the tools are powerful and stable, utilizing tools that require a certain level of knowledge and background in music production and sound processing can be messy and error prone. We propose a solution that allows batch processing of audio file in a fast and prompt manner carrying out some of the popular digital signal processing techniques. The proposed solution, py DAW, is in the form of an open-source tool for users who cannot afford using DAWs for their cost or complexity. pyDAW is a lean Python Command Line Interface (CLI) that provides a simple interface to complement regular DAWs GUI environments, making it easier to run DAWs functionalities in a batch and simple manner.",,19,16-Apr-20,16-Apr-20,2019 45th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)
Educational trends in software engineering: a systematic review study,,N. D. Acosta; M. B. Garcia; J. B. Romero; A. L. Sevillano; N. F. Paez; O. Roa,2019,3,IEEE Conferences,10.1109/CONIITI48476.2019.8960866,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8960866,Course;curriculum;learning;Software engineering;teaching,"Although there is an updated knowledge's body in software engineering, even so the curricular guides must be updated periodically. This article presents a systematic review study, which addresses the need to provide suggestions regarding the issues that should be emphasized in the area of software engineering in the systems and computer engineering program at the Catholic University of Colombia. 20 themes were identified, presented in 855 selected studies and which are studied in 50 articles, at a minimum. The most studied topic is related to software design (91.5%), followed by software development in (58%), testing and software quality in (55.5%), open source software in (33.5%), software architecture (23%), web technologies (22%), agile methodologies (18.5%), software project management (16%), software development processes (12%)), C & C ++ programming language (11%), programming languages, object-oriented programming and graphical user interface (10%), Java programming language (9%), prototype-based software development in (8.5%), requirements, standards and computer-aided software engineering in (8%), mobile software and cloud services in a (7%). The results indicate the top 20 of the essential topics in a curriculum of the software engineering area.",2,21,16 jan. 2020,16 jan. 2020,2019 27th Signal Processing and Communications Applications Conference (SIU)
Design of a Mobile Application to encourage Women’s participation in STEM careers,,V. Ahumada; R. Peñabaena-Niebles; J. Salatarin; S. Amaris,2022,3,IEEE Conferences,10.1109/JICV56113.2022.9934323,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9934323,design;mobile application;m-learning;stem career,"STEM careers are constantly facing challenges and changes, but currently, the main problem lies in the low participation of women worldwide. From the above mentioned, the purpose of this project was born, which seeks to solve this problem through a mobile application that motivates and develops skills and knowledge about STEM. This application has two interactive modules to obtain a more significant attraction in girls. The first is called “Motivate yourself”, which contains videos and motivational phrases to publicize the experiences of successful and empowered women who have studied STEM. On the other hand, the second module, “Learn while playing”, provides us with various interactive games that test their knowledge to enrich the girls’ learning about STEM-related topics. These modules were created based on the M-Learning method that focuses on learning through digital platforms. While for the application’s architecture, the Scrum methodology is used, which is based on fulfilling tasks with a development team for short periods called “Sprints,” using the open-source software React Native with its JavaScript programming language. After developing this application, a pilot test was implemented where the design and content were evaluated, and corrections and improvements were implemented according to the results. Finally, it was possible to create a motivational tool for adolescent girls who are often afraid of studying careers of this type, either because of a lack of knowledge or because they do not feel they have the skills to carry them out.",,15,16 nov. 2022,16 nov. 2022,2022 XII International Conference on Virtual Campus (JICV)
Research on Monitoring of Information Equipment Based on Zabbix for Power Supply Company,,Y. G. Shan; L. Chao; G. Guangjian; F. Gao,2021,4,IEEE Conferences,10.1109/ICAML54311.2021.00108,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711964,Zabbix system;architectural example;monitoring key points;deployment mode;application ideas,"In order to cope with the new challenges brought by the construction of the energy Internet to the information equipment operation and maintenance personnel of power supply companies, in this paper, combined with the current situation of power supply company informatization, an information equipment monitoring solution based on Zabbix open source architecture is proposed. Based on the Zabbix open source architecture, the first step is to design an example diagram of the Zabbix architecture. The second step is to determine the key points of monitoring and show the installation and deployment process. In the third step, we summarize the idea of applying Zabbix monitoring device configuration. The experimental results show that the method in this paper does provide an effective open source tool for the lean management of information equipment operation and maintenance.",,15,18-Feb-22,18-Feb-22,2021 3rd International Conference on Applied Machine Learning (ICAML)
Playing Planning Poker in Crowds: Human Computation of Software Effort Estimates,,M. Alhamed; T. Storer,2021,11,IEEE Conferences,10.1109/ICSE43902.2021.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402047,Software effort estimation;Planning poker;Agile development;Human Computation;Augmented intelligence;Software engineering;crowdsourcing;crowd planning poker;open source,"Reliable cost effective effort estimation remains a considerable challenge for software projects. Recent work has demonstrated that the popular Planning Poker practice can produce reliable estimates when undertaken within a software team of knowledgeable domain experts. However, the process depends on the availability of experts and can be time-consuming to perform, making it impractical for large scale or open source projects that may curate many thousands of outstanding tasks. This paper reports on a full study to investigate the feasibility of using crowd workers supplied with limited information about a task to provide comparably accurate estimates using Planning Poker. We describe the design of a Crowd Planning Poker (CPP) process implemented on Amazon Mechanical Turk and the results of a substantial set of trials, involving more than 5000 crowd workers and 39 diverse software tasks. Our results show that a carefully organised and selected crowd of workers can produce effort estimates that are of similar accuracy to those of a single expert.",3,49,07-May-21,07-May-21,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)
"Productivity, Turnover, and Team Stability of Agile Teams in Open-Source Software Projects",,E. Scott; K. N. Charkie; D. Pfahl,2020,7,IEEE Conferences,10.1109/SEAA51224.2020.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226278,Agile Software Development;Open Source;Productivity;Turnover;Team Performance,"Productivity in software development has been studied for a long time and is still a topic of interest. Many factors, ranging from team size to music listened by developers, have been studied regarding their effect on productivity. Surprisingly, little is known about how the dynamics of open-source projects that use agile practices are related to the productivity of the developer teams. Our study aims to close this gap by analyzing the productivity of open-source projects using measures that are popular in the context of agile software development. To do this, we study data from seven open-source projects and calculated both the individual velocity of developers and focus factor of teams per iteration. First, we applied statistical process control to identify iterations with out-of-control velocity and focus factor values. Then, we studied these iterations regarding four context factors that partly characterize the dynamics of open-source projects, i.e., iteration length, turnover of developers who left, turnover of new developers, and team stability index. Our results suggest that high team stability and low turnover are strongly associated with iterations showing high velocity.",8,32,16-Oct-20,16-Oct-20,2019 26th Asia-Pacific Software Engineering Conference (APSEC)
ChiselFV: A Formal Verification Framework for Chisel,,M. Xiang; Y. Li; Y. Zhao,2023,5,IEEE Conferences,10.23919/DATE56975.2023.10137221,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137221,Hardware verification;Formal methods;Hardware description language;Chisel,"Modern digital hardware is becoming ever more complex. And agile development, an efficient idea in software development, has been introduced into hardware. Furthermore, as a new hardware construction language, Chisel helps to raise the level of hardware design abstraction with the support of object-oriented and functional programming. Chisel plays a crucial role in future hardware design and open-source hardware development. However, the formal verification for Chisel is still limited. In this paper, we propose ChiselFV, a formal verification framework that has supported detailed formal hardware property descriptions and integrated mature formal hardware verification flows based on SymbiYosys. It builds on top of Chisel and uses Scala to drive the verification process. Thus the framework can be seen as an extension of Chisel. ChiselFV makes it easy to verify hardware designs formally when implementing them in Chisel.",,29,2 jun. 2023,2 jun. 2023,"2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)"
"A 12nm Agile-Designed SoC for Swarm-Based Perception with Heterogeneous IP Blocks, a Reconfigurable Memory Hierarchy, and an 800MHz Multi-Plane NoC",,T. Jia; P. Mantovani; M. C. Dos Santos; D. Giri; J. Zuckerman; E. J. Loscalzo; M. Cochet; K. Swaminathan; G. Tombesi; J. J. Zhang; N. Chandramoorthy; J. -D. Wellman; K. Tien; L. Carloni; K. Shepard; D. Brooks; G. -Y. Wei; P. Bose,2022,3,IEEE Conferences,10.1109/ESSCIRC55480.2022.9911456,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9911456,,"This paper presents an agile-designed domain-specific SoC in 12nm CMOS for the emerging application domain of swarm-based perception. Featuring a heterogeneous tile-based architecture, the SoC was designed with an agile methodology using open-source processors and accelerators, interconnected by a multi-plane NoC. A reconfigurable memory hierarchy and a CS-GALS clocking scheme allow the SoC to run at a variety of performance/power operating points. Compared to a high-end FPGA, the presented SoC achieves 7 × performance and 62× efficiency gains for the target application domain.",3,15,20-Oct-22,20-Oct-22,ESSCIRC 2022- IEEE 48th European Solid State Circuits Conference (ESSCIRC)
ROSflight: A Lean Open-Source Research Autopilot,,J. Jackson; D. Koch; T. Henrichsen; T. McLain,2020,6,IEEE Conferences,10.1109/IROS45743.2020.9341653,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341653,,"ROSflight is a lean, open-source autopilot system developed with the primary goal of supporting the needs of researchers working with micro aerial vehicle systems. The project consists of firmware designed to run on low-cost, readily available flight controller boards, as well as ROS packages for interfacing between the flight controller and application code and for simulation. The core objectives of the project are as follows: maintain a small, easy-to-understand code base; provide high-bandwidth, low-latency communication between the flight controller and application code; provide a straightforward interface to research application code; allow for robust safety pilot integration; and enable true software-in-the-loop simulation capability.",,25,10-Feb-21,10-Feb-21,2020 IEEE 32nd Conference on Software Engineering Education and Training (CSEE&T)
(Special Topic Submission) Enabling Domain-Specific Architectures with an Open-Source Soft-Core GPGPU,,M. Brandalero; H. G. M. Hernandez; M. Veleski; M. A. Kadi; P. Rech; M. Hübner,2020,7,IEEE Conferences,10.1109/IPDPSW50202.2020.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150348,general-purpose graphics processing units;open-source hardware;systems on chip;performance;reliability,"Graphics Processing Units (GPUs) have found application in a broad range of domains due to their ability to massively exploit data parallelism and thereby achieve high energy efficiency, being now referred to as General-Purpose GPUs (GPGPUs). However, with a market dominated by two or three industrial players and a lack of open-source hardware realizations and standardized GPU Instruction-Set Architectures (ISAs), the full potential of these architectures for academic research and use by small hardware development enterprises remains far from being unlocked. In this paper, we start by discussing a few exciting research directions in GPGPU architectures and the benefits of open-source Hardware realizations. Furthermore, we show how our open-source FGPU core can be used to enable overcoming these challenges and contribute to the agile development of Domain-Specific Architectures (DSAs) featuring System-on-Chip (SoC) platforms extended with adapted GPGPU cores. FGPU is described in VHDL, can be programmed in OpenCL by use of our LLVM-based compiler, and has been validated against an ARM Cortex A9 with NEON support, achieving 4 performance improvement in fixed and floating-point benchmarks.",3,40,28 jul. 2020,28 jul. 2020,2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER)
"A Comparative Study of Agile Methods, Testing Challenges, Solutions & Tool Support",,A. U. Rehman; A. Nawaz; M. T. Ali; M. Abbas,2020,4,IEEE Conferences,10.1109/ICOSST51357.2020.9332965,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332965,Agile development;Software development;Agile tools,"Agile development is conventional these days and with the passage of time software developers are rapidly moving from Waterfall to Agile development. Agile methods focus on delivering executable code quickly by increasing the responsiveness of software companies while decreasing development overhead and consider people as the strongest pillar of software development. As agile development overshadows Waterfall methodologies for software development, it comes up with some distinct challenges related to testing of such software. Our study is going to discuss the challenges this approach has stirred up. Some of the challenges are discussed in this paper with possible solutions and approaches used for resolving these challenges. Also, the tools in practice are mentioned to improve the efficiency of the process. (Abstract)",2,24,29 jan. 2021,29 jan. 2021,2020 24th International Conference Information Visualisation (IV)
"Low-Cost, Lightweight UWB Antenna Design for Humanitarian Drone-Launched GPR Surveys",,S. Badjou; D. Kutrubes; W. Montlouis,2020,2,IEEE Conferences,10.1109/GreenTech46478.2020.9289750,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9289750,GPR;UWB antennas;underground imaging;UAS;drone;disaster rescue;SaR,"Drone-based GPR surveys could have a myriad of humanitarian applications, ranging from search and rescue and recovery missions after earthquakes, floods, and other natural disasters, to the detection of landmines and unexploded ordnance. We explore the feasibility of low-cost, lightweight components for the construction of drone-mounted ultrawideband (UWB) antennas and evaluate the acquisition system and software necessary to generate near real-time images in order to be effective for such GPR applications.",1,25,16-Dec-20,16-Dec-20,2020 IEEE Frontiers in Education Conference (FIE)
Bluejay: A Cross-Tooling Audit Framework For Agile Software Teams,,C. García; A. Guerrero; J. Zeitsoff; S. Korlakunta; P. Fernandez; A. Fox; A. Ruiz-Cortés,2021,5,IEEE Conferences,10.1109/ICSE-SEET52601.2021.00038,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402165,team practice;agile;team dashboard;team practice agreement,"Agile software teams are expected to follow a number of specific Team Practices (TPs) during each iteration, such as estimating the effort (""points"") required to complete user stories and coordinating the management of the codebase with the delivery of features. For software engineering instructors trying to teach such TPs to student teams, manually auditing teams if teams are following the TPs and improving over time is tedious, time-consuming and error-prone. It is even more difficult when those TPs involve two or more tools. For example, starting work on a feature in a project-management tool such as Pivotal Tracker should usually be followed relatively quickly by the creation of a feature branch on GitHub. Merging a feature branch on GitHub should usually be followed relatively quickly by deploying the new feature to a staging server for customer feedback. Few systems are designed specifically to audit such TPs, and existing ones, as far as we know, are limited to a single specific tool. We present Bluejay, an open-source extensible platform that uses the APIs of multiple tools to collect raw data, synthesize it into TP measurements, and present dashboards to audit the TPs. A key insight in Bluejay's design is that TPs can be expressed in terminology similar to that used for modeling and auditing Service Level Agreement (SLA) compliance. Bluejay therefore builds on mature tools used in that ecosystem and adapts them for describing, auditing, and reporting on TPs. Bluejay currently consumes data from five different widely-used development tools, and can be customized by connecting it to any service with a REST API. Video showcase available at governify.io/showcase/bluejay",,16,07-May-21,07-May-21,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)
(System)Verilog to Chisel Translation for Faster Hardware Design,,J. Bruant; P. -H. Horrein; O. Muller; T. Groléat; F. Pétrot,2020,6,IEEE Conferences,10.1109/RSP51120.2020.9244852,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244852,Hardware description languages;Agile development;EDA tool;Source code translation,"Bringing agility to hardware developments has been a long-running goal for hardware communities struggling with limitations of current hardware description languages such as (System)Verilog or VHDL. The numerous recent Hardware Construction Languages such as Chisel are providing enhanced ways to design complex hardware architectures with notable academic and industrial successes. While the latter environments are now mature and perfectly suited for brand new projects, migrating partially or entirely existing Verilog code-base proves to be a challenging and very time-consuming process. Successful migrations need to be able to leverage finely tuned existing hardware descriptions as a basis to build complex systems through simple iterations. This article introduces sv2chisel, an open-source automated (System)Verilog to Chisel translator as entry point for this iterative migration processes. Our tool achieved the proper translation, with on-par resource usage of a real-world production FPGA design at OVHcloud as well as two independent open-source Verilog projects: a MIPS core and the size-optimized 32-bit RISC-V core PicoRV32.",1,19,4 nov. 2020,4 nov. 2020,2020 12th International Conference on Information Technology and Electrical Engineering (ICITEE)
A Process to Develop Lean Big-Data Platform Architectures for Industrial Manufacturing Contexts,,M. Illian; S. Althoff; H. Karl,2020,3,IEEE Conferences,10.1109/ETFA46521.2020.9212006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212006,Industry 4.0;Big Data Platform;Architecture;Open-Source Software,"Manufacturing companies can accomplish increased productivity by using data-driven learning methods based on production and machine data. To realise that big-data platforms are needed to simplify data provisioning and manipulation, for example to train machine learning algorithms. We introduce a method for the generation of big-data platform architectures. The method covers software selection which minimises implementation efforts and maximises the maintainability of used software solutions to implement architectures. We apply requirements from four large scale manufacturers to our method in a case study.",2,9,05-Oct-20,05-Oct-20,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)
SALSA: Self-Adjusting Lean Streaming Analytics,,R. B. Basat; G. Einziger; M. Mitzenmacher; S. Vargaftik,2021,11,IEEE Conferences,10.1109/ICDE51399.2021.00080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458734,,"Counters are the fundamental building block of many data sketching schemes, which hash items to a small number of counters and account for collisions to provide good approximations for frequencies and other measures. Most existing methods rely on fixed-size counters, which may be wasteful in terms of space, as counters must be large enough to eliminate any risk of overflow. Instead, some solutions use small, fixed-size counters that may overflow into secondary structures.This paper takes a different approach. We propose a simple and general method called SALSA for dynamic re-sizing of counters, and show its effectiveness. SALSA starts with small counters, and overflowing counters simply merge with their neighbors. SALSA can thereby allow more counters for a given space, expanding them as necessary to represent large numbers. Our evaluation demonstrates that, at the cost of a small overhead for its merging logic, SALSA significantly improves the accuracy of popular schemes (such as Count-Min Sketch and Count Sketch) over a variety of tasks. Our code is released as open source [1].",3,46,22 jun. 2021,22 jun. 2021,2021 IEEE 37th International Conference on Data Engineering (ICDE)
Research on 5GC Cloud-Native Deployment Mechanism Based on Cloud-Edge Collaboration,,Y. Cao; P. Lv; X. Zhou; Y. Wu; S. Quan; Z. Zhu; S. Gao,2022,4,IEEE Conferences,10.1109/TOCS56154.2022.10016065,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10016065,5G core (5GC);Kubernetes;KubeEdge;Cloud Native,"With the proliferation of 5G business scenarios, 5G core network (5GC) cloudification has a major trend for both operators and vendors. As a novel cloud computing technology, cloud native can realize agile development, rapid deployment, on-demand customization of resources, and flexible business innovation of 5GC. In order to promote the cloud native evolution of 5GC, this paper proposes a prototype of cloud native 5GC platform based on open source projects, and conducts deployment experiment. However, open source projects have shortcomings in the deployment of cloud native 5GC, such as being unable to remote user plane function (UPF) to edge cloud, not supporting multiple network planes, and relying on static network function IP addresses. From the conclusion of experiment, a set of cloud-edge collaboration 5GC deployment solutions are accomplished, proving cloud native technology can carry the services of 5GC.",,11,18 jan. 2023,18 jan. 2023,"2022 IEEE Conference on Telecommunications, Optics and Computer Science (TOCS)"
Experiential Learning for Software Engineering using Agile Modeling in Umple,,T. C. Lethbridge,2020,1,IEEE Conferences,10.1109/CSEET49119.2020.9206221,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206221,model-driven development;agile software processes;code generation;compiler;Umple;software engineering education,"In this tutorial we will discuss a method of teaching a variety of software engineering topics in an integrated and experiential manner. Topics covered include agile processes, software modeling, open source development tools and processes, code generation and testing. Our approach involves using a textual modeling language called Umple that enables agile, model-driven, test-driven development. Students are introduced to this tool in an introduction to software engineering course, where they learn the basics of the above topics. Then in their capstone course they are able to actually contribute to the tool itself.",,12,14-Oct-20,14-Oct-20,"2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)"
Advanced Framework for Automated Testing of Mobile Applications,,M. A. Salam; S. Taha; M. G. Hamed,2022,5,IEEE Conferences,10.1109/NILES56402.2022.9942374,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9942374,Automation software testing;Appium;iOS;Android;Environment;Testing Framework,"The stage of software testing should be at the same degree of speed as development and software release, so the automation test is necessary to be aligned with other stages of the life cycle of development for software. In two weeks of sprints developing, testers should run a complete test with high quality and at reasonable speed. Manual testing can not be sufficient to deliver a product with high quality with Agile methodology because it may not cover all possibilities of occurrence for all expected bugs. The paper explains the advanced automation testing framework, which depends on open source tools such as Appium for handling automation testing to resolve these issues. The automation framework makes functional testing for two mobile platforms possible. To reduce effort and skillset development, the framework implements custom methods and libraries. This framework is an enhancement to the precedent environment in which we tried to solve the drawbacks of this precedent environment.",1,20,14 nov. 2022,14 nov. 2022,2022 4th Novel Intelligent and Leading Emerging Sciences Conference (NILES)
